Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,message,message_rel,nile,nile_rel,sphinx,sphinx_rel,tree,tree_rel,hieroglyphs,hieroglyphs_rel,mosaic,mosaic_rel
grok-4-fast-reasoning,198.00,33.00%,58.10%,16.67%,0.863,420.64,6,10.00,10.00%,100.00,100.00%,31.00,31.00%,17.00,17.00%,3.00,3.00%,37.00,37.00%
gpt-oss-120b-high,167.00,27.83%,49.53%,16.67%,0.612,420.58,6,10.00,10.00%,100.00,100.00%,0.00,0.00%,17.00,17.00%,18.00,18.00%,22.00,22.00%
gpt-5,160.00,26.67%,44.24%,16.67%,0.325,273.17,6,0.00,0.00%,100.00,100.00%,3.00,3.00%,17.00,17.00%,3.00,3.00%,37.00,37.00%
gemini-2.5-pro,134.00,22.33%,50.02%,0.00%,1.422,419.38,6,10.00,10.00%,67.00,67.00%,10.00,10.00%,10.00,10.00%,0.00,0.00%,37.00,37.00%
seed-oss_-1,122.00,20.33%,47.30%,0.00%,1.325,416.77,6,10.00,10.00%,67.00,67.00%,10.00,10.00%,10.00,10.00%,3.00,3.00%,22.00,22.00%
deepseek-reasoner,120.00,20.00%,44.63%,0.00%,1.087,13.28,6,10.00,10.00%,67.00,67.00%,10.00,10.00%,10.00,10.00%,3.00,3.00%,20.00,20.00%
gpt-oss-120b-medium,119.00,19.83%,41.63%,0.00%,0.893,417.69,6,10.00,10.00%,67.00,67.00%,0.00,0.00%,17.00,17.00%,3.00,3.00%,22.00,22.00%
gemini-2.5-flash,112.00,18.67%,39.91%,0.00%,1.033,413.69,6,0.00,0.00%,67.00,67.00%,10.00,10.00%,10.00,10.00%,3.00,3.00%,22.00,22.00%
gpt-oss-120b_sp1,112.00,18.67%,38.49%,0.00%,1.195,414.30,6,10.00,10.00%,67.00,67.00%,0.00,0.00%,10.00,10.00%,3.00,3.00%,22.00,22.00%
Qwen3-14B,102.00,17.00%,32.42%,0.00%,0.988,411.24,6,0.00,0.00%,67.00,67.00%,0.00,0.00%,10.00,10.00%,3.00,3.00%,22.00,22.00%
gpt-oss-120b_sp3,102.00,17.00%,35.25%,0.00%,1.133,10.08,6,10.00,10.00%,67.00,67.00%,0.00,0.00%,10.00,10.00%,0.00,0.00%,15.00,15.00%
OlympicCoder-32B,99.00,16.50%,32.14%,0.00%,1.005,417.15,6,0.00,0.00%,67.00,67.00%,0.00,0.00%,10.00,10.00%,0.00,0.00%,22.00,22.00%
gpt-oss-120b_sp2,97.00,16.17%,32.03%,0.00%,0.767,10.18,6,10.00,10.00%,67.00,67.00%,0.00,0.00%,17.00,17.00%,3.00,3.00%,0.00,0.00%
gpt-oss-20b-low,97.00,16.17%,32.21%,0.00%,1.060,11.37,6,10.00,10.00%,67.00,67.00%,0.00,0.00%,10.00,10.00%,3.00,3.00%,7.00,7.00%
Qwen3-8B,92.00,15.33%,28.70%,0.00%,0.790,820.40,6,0.00,0.00%,67.00,67.00%,3.00,3.00%,0.00,0.00%,0.00,0.00%,22.00,22.00%
gpt-oss-120b-low,90.00,15.00%,29.59%,0.00%,1.127,7.47,6,10.00,10.00%,67.00,67.00%,0.00,0.00%,10.00,10.00%,3.00,3.00%,0.00,0.00%
gpt-oss-120b_sp4,90.00,15.00%,28.96%,0.00%,1.132,7.18,6,10.00,10.00%,67.00,67.00%,0.00,0.00%,10.00,10.00%,3.00,3.00%,0.00,0.00%
gpt-oss-20b-medium,87.00,17.40%,31.47%,0.00%,1.392,8.23,5,10.00,10.00%,67.00,67.00%,0.00,0.00%,10.00,10.00%,0.00,0.00%,N/A,N/A
gpt-oss-20b-high,84.00,16.80%,29.46%,0.00%,0.774,367.41,5,0.00,0.00%,67.00,67.00%,0.00,0.00%,17.00,17.00%,0.00,0.00%,N/A,N/A
claude-sonnet-4.5,77.00,12.83%,36.69%,0.00%,1.413,609.26,6,10.00,10.00%,17.00,17.00%,3.00,3.00%,10.00,10.00%,0.00,0.00%,37.00,37.00%
gpt-o3-mini-high,67.00,11.17%,19.00%,0.00%,0.642,32.94,6,0.00,0.00%,67.00,67.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
DeepSeek-R1-Distill-Llama-70B,62.00,10.33%,31.53%,0.00%,0.830,414.61,6,10.00,10.00%,17.00,17.00%,10.00,10.00%,0.00,0.00%,3.00,3.00%,22.00,22.00%
claude-haiku-4.5,58.00,9.67%,28.37%,0.00%,1.172,821.60,6,0.00,0.00%,17.00,17.00%,2.00,2.00%,10.00,10.00%,0.00,0.00%,29.00,29.00%
Qwen3-4B,45.00,7.50%,20.89%,0.00%,1.213,821.12,6,0.00,0.00%,23.00,23.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,22.00,22.00%
gpt-4.1,42.00,7.00%,20.06%,0.00%,0.522,63.29,6,0.00,0.00%,0.00,0.00%,3.00,3.00%,10.00,10.00%,0.00,0.00%,29.00,29.00%
Qwen3-8B-Non-Thinking,42.00,7.00%,15.82%,0.00%,0.573,423.05,6,0.00,0.00%,17.00,17.00%,0.00,0.00%,0.00,0.00%,3.00,3.00%,22.00,22.00%
Qwen3-30B-Non-Thinking,42.00,7.00%,15.82%,0.00%,0.588,412.50,6,0.00,0.00%,17.00,17.00%,0.00,0.00%,0.00,0.00%,3.00,3.00%,22.00,22.00%
deepseek-chat,37.00,6.17%,15.98%,0.00%,0.907,11.50,6,0.00,0.00%,17.00,17.00%,0.00,0.00%,10.00,10.00%,3.00,3.00%,7.00,7.00%
Llama-4-Scout,29.00,4.83%,15.29%,0.00%,0.808,814.39,6,0.00,0.00%,17.00,17.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,12.00,12.00%
Qwen3-14B-Non-Thinking,28.00,4.67%,16.66%,0.00%,0.750,984.49,6,0.00,0.00%,6.00,6.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,22.00,22.00%
Qwen3-32B-Non-Thinking,25.00,4.17%,12.81%,0.00%,0.168,411.38,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,3.00,3.00%,22.00,22.00%
Qwen2.5-Coder-14B-Instruct,25.00,4.17%,14.74%,0.00%,0.580,819.71,6,0.00,0.00%,0.00,0.00%,3.00,3.00%,0.00,0.00%,0.00,0.00%,22.00,22.00%
Mistral-Small-3.1-24B-2503,22.00,3.67%,12.02%,0.00%,0.213,411.08,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,22.00,22.00%
Qwen3-4B-Non-Thinking,22.00,3.67%,11.94%,0.00%,0.352,817.36,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,22.00,22.00%
DeepSeek-Coder-V2-Lite-Instruct,22.00,3.67%,12.23%,0.00%,0.375,811.98,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,22.00,22.00%
Mistral-Large-Instruct-2411,22.00,3.67%,14.27%,0.00%,0.747,407.49,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,22.00,22.00%
OlympicCoder-7B,17.00,2.83%,8.91%,0.00%,0.632,6.39,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,10.00,10.00%,0.00,0.00%,7.00,7.00%
Qwen2.5-Coder-7B-Instruct,12.00,2.00%,10.97%,0.00%,0.380,407.95,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,12.00,12.00%
Llama-3.1-8B-Instruct,12.00,2.00%,9.68%,0.00%,0.418,411.08,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,12.00,12.00%
OpenCodeReasoning-Nemotron-32B-IOI,10.00,1.67%,6.82%,0.00%,0.627,9.53,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,10.00,10.00%,0.00,0.00%,0.00,0.00%
Qwen2.5-Coder-32B-Instruct,10.00,5.00%,25.41%,0.00%,0.680,4.22,2,10.00,10.00%,N/A,N/A,0.00,0.00%,N/A,N/A,N/A,N/A,N/A,N/A
QwQ-32B,3.00,1.50%,9.58%,0.00%,0.125,4.04,2,0.00,0.00%,N/A,N/A,3.00,3.00%,N/A,N/A,N/A,N/A,N/A,N/A
DeepSeek-R1-Distill-Qwen-14B,3.00,1.50%,6.25%,0.00%,0.170,2.13,2,0.00,0.00%,N/A,N/A,3.00,3.00%,N/A,N/A,N/A,N/A,N/A,N/A
DeepSeek-R1-Distill-Qwen-32B,3.00,1.50%,9.58%,0.00%,0.250,4.05,2,0.00,0.00%,N/A,N/A,3.00,3.00%,N/A,N/A,N/A,N/A,N/A,N/A
DeepSeek-R1-Distill-Qwen-7B,0.00,0.00%,0.00%,0.00%,0.000,0.00,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
DeepSeek-R1-Distill-Llama-8B,0.00,0.00%,1.58%,0.00%,0.207,1.25,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
Codestral-22B-v0.1,0.00,0.00%,2.67%,0.00%,0.352,815.46,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%
