problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
autobus,RUNTIME_ERROR,0,0.00%,16.33%,0.060,0,,0,0,0,0,0
karte,RUNTIME_ERROR,18,25.71%,32.84%,0.370,0.00390625,,18,0,0,0,0
bojanje,RUNTIME_ERROR,0,0.00%,5.80%,0.060,0.00390625,,0,0,0,0,0
stablo,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
procesor,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
wow,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
zid,TIME_LIMIT_EXCEEDED,17,24.29%,61.11%,1.230,1.55859375,,17,0,0,0,0
tornjevi,TIME_LIMIT_EXCEEDED,61,67.78%,79.63%,2.430,9.03515625,,7,11,17,0,26
crtez,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
stablo,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
sah,RUNTIME_ERROR,32,64.00%,63.24%,0.070,1.9609375,,13,19,0,0,0
benzinska,ACCEPTED,70,100.00%,100.00%,0.860,6.1875,,15,30,25,0,0
xor,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
cipele,RUNTIME_ERROR,0,0.00%,0.00%,0.200,17.66015625,,0,0,0,0,0
tura,RUNTIME_ERROR,0,0.00%,0.72%,0.060,2.265625,,0,0,0,0,0
paradoks,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
igre,RUNTIME_ERROR,23,32.86%,26.53%,0.260,192.33984375,,0,0,23,0,0
razlicitost,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
blistavost,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
trokuti,TIME_LIMIT_EXCEEDED,13,10.83%,25.00%,4.820,72.7421875,,13,0,0,0,0
osobna,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
skokovi,TIME_LIMIT_EXCEEDED,25,35.71%,43.75%,5.980,2.84765625,,0,25,0,0,0
hijerarhija,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
uciteljica,TIME_LIMIT_EXCEEDED,0,0.00%,3.28%,5.970,1.5546875,,0,0,0,0,0
zbunjenost,RUNTIME_ERROR,0,0.00%,1.61%,0.090,2.5859375,,0,0,0,0,0
TOTAL,,259,,18.39%,,,4.00%,,,,,
