Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count
gpt-5,797.00,66.42%,78.14%,50.00%,0.760,36.84,12
grok-4-fast-reasoning,683.00,56.92%,73.24%,33.33%,0.778,87.06,12
gpt-oss-120b-high,641.00,53.42%,61.81%,41.67%,0.733,43.65,12
gemini-2.5-pro,449.00,37.42%,56.46%,25.00%,0.754,29.93,12
gpt-oss-120b_sp4,440.00,36.67%,44.45%,33.33%,0.511,47.79,12
gpt-oss-120b_sp3,440.00,36.67%,53.08%,25.00%,0.374,39.36,12
gpt-o3-mini-high,403.00,33.58%,50.14%,16.67%,0.582,54.45,12
gpt-oss-120b_sp2,394.00,32.83%,50.42%,16.67%,0.422,41.37,12
gpt-oss-120b-medium,388.00,32.33%,44.92%,25.00%,0.423,35.75,12
gpt-oss-120b_sp1,378.00,31.50%,41.54%,25.00%,0.648,26.83,12
gemini-2.5-flash,369.00,30.75%,49.11%,16.67%,0.861,103.66,12
seed-oss_-1,355.00,29.58%,44.56%,16.67%,0.985,37.93,12
gpt-oss-120b-low,350.00,29.17%,43.67%,16.67%,0.872,26.51,12
claude-sonnet-4.5,309.00,25.75%,53.08%,8.33%,0.939,37.70,12
gpt-oss-20b-high,308.00,38.50%,52.23%,25.00%,0.932,20.59,8
seed-oss_16384,304.00,,45.27%,8.33%,0.588,55.41,12
gpt-oss-20b-medium,303.00,27.55%,40.77%,18.18%,0.773,21.34,11
seed-oss_8192,215.00,,30.61%,8.33%,0.570,50.36,12
DeepSeek-R1-Distill-Llama-70B,187.00,15.58%,24.68%,8.33%,0.542,30.71,12
gpt-oss-20b-low,182.00,15.17%,30.26%,8.33%,0.408,47.54,12
deepseek-reasoner,170.00,14.17%,31.81%,0.00%,0.695,37.53,12
Qwen3-32B,163.00,13.58%,35.75%,0.00%,0.930,24.88,12
seed-oss_4096,128.00,,18.72%,8.33%,0.285,27.68,12
gpt-4.1,118.00,9.83%,26.87%,0.00%,1.004,79.65,12
Mistral-Small-3.1-24B-2503,113.00,9.42%,16.82%,8.33%,0.480,28.25,12
OlympicCoder-7B,111.00,9.25%,17.90%,8.33%,0.233,12.39,12
seed-oss_2048,107.00,,14.87%,8.33%,0.175,50.03,12
Mistral-Large-Instruct-2411,107.00,8.92%,16.50%,8.33%,0.237,30.00,12
Qwen2.5-Coder-14B-Instruct,107.00,8.92%,13.16%,8.33%,0.565,53.70,12
seed-oss_0,106.00,,12.99%,8.33%,0.084,14.58,12
Qwen3-8B,104.00,8.67%,18.78%,0.00%,0.534,32.60,12
Qwen3-30B,103.00,8.58%,22.74%,0.00%,0.724,12.89,12
seed-oss_1024,100.00,,12.06%,8.33%,0.029,3.76,12
seed-oss_512,100.00,,9.00%,8.33%,0.048,20.32,12
Llama-4-Scout,100.00,8.33%,12.35%,8.33%,0.052,14.42,12
Qwen3-8B-Non-Thinking,98.00,8.91%,18.05%,0.00%,0.742,34.61,11
Qwen3-14B,82.00,6.83%,17.41%,0.00%,0.767,35.73,12
OpenCodeReasoning-Nemotron-32B-IOI,75.00,6.25%,20.16%,0.00%,0.571,43.43,12
Llama-3.3-70B-Instruct,67.00,5.58%,19.98%,0.00%,0.754,74.29,12
DeepSeek-R1-Distill-Qwen-32B,65.00,5.42%,14.38%,0.00%,0.494,53.22,12
Qwen3-14B-Non-Thinking,44.00,3.67%,10.24%,0.00%,0.203,49.59,12
Qwen2.5-72B,44.00,3.67%,10.53%,0.00%,0.590,76.68,12
Llama-3.1-8B-Instruct,39.00,3.25%,7.90%,0.00%,0.044,12.08,12
deepseek-chat,37.00,3.08%,17.49%,0.00%,0.364,42.29,12
QwQ-32B,35.00,2.92%,12.30%,0.00%,0.625,30.37,12
Codestral-22B-v0.1,32.00,2.67%,1.65%,0.00%,0.043,0.43,12
Qwen3-32B-Non-Thinking,30.00,2.50%,13.43%,0.00%,0.313,31.67,12
Qwen2.5-Coder-32B-Instruct,20.00,1.67%,11.51%,0.00%,0.614,78.95,12
Qwen3-4B,13.00,1.08%,10.45%,0.00%,0.484,31.87,12
DeepSeek-Coder-V2-Lite-Instruct,11.00,0.92%,7.19%,0.00%,0.398,5.17,12
Qwen3-30B-Non-Thinking,6.00,0.50%,6.25%,0.00%,0.312,11.78,12
Qwen3-4B-Non-Thinking,4.00,0.36%,1.17%,0.00%,0.180,5.47,11
DeepSeek-R1-Distill-Qwen-7B,0.00,0.00%,0.00%,0.00%,0.000,0.00,12
DeepSeek-R1-Distill-Llama-8B,0.00,0.00%,0.00%,0.00%,0.000,0.00,12
DeepSeek-R1-Distill-Qwen-14B,0.00,0.00%,4.36%,0.00%,0.033,0.49,12
Qwen2.5-Coder-7B-Instruct,0.00,0.00%,1.46%,0.00%,0.174,3.27,12
