solution,status,score,relative_score,%test passed,time,memory,subtask_0
j1_Qwen3-14B_0.cpp,ACCEPTED,15,100.00%,100.00%,0.040,0,15
j1_Qwen3-14B_0.cpp,ACCEPTED,15,100.00%,100.00%,0.040,0,15
j1_Qwen3-14B_0.cpp,ACCEPTED,15,100.00%,100.00%,0.040,0,15
j1_Qwen3-14B_2.cpp,ACCEPTED,15,100.00%,100.00%,0.040,0,15
j1_Qwen3-14B_3.cpp,ACCEPTED,15,100.00%,100.00%,0.000,0,15
j1_Qwen3-14B_4.cpp,ACCEPTED,15,100.00%,100.00%,0.000,0,15
j1_Qwen3-14B_6.cpp,ACCEPTED,15,100.00%,100.00%,0.000,0,15
j1_Qwen3-14B_6.cpp,ACCEPTED,15,100.00%,100.00%,0.000,0,15
j1_Qwen3-14B_6.cpp,ACCEPTED,15,100.00%,100.00%,0.000,0,15
j1_Qwen3-14B_6.cpp,ACCEPTED,15,100.00%,100.00%,0.000,0,15
j1_Qwen3-14B_6.cpp,ACCEPTED,15,100.00%,100.00%,0.000,0,15
j1_Qwen3-14B_6.cpp,ACCEPTED,15,100.00%,100.00%,0.000,0,15
j1_Qwen3-14B_6.cpp,ACCEPTED,15,100.00%,100.00%,0.000,0,15
j1_Qwen3-14B_7.cpp,ACCEPTED,15,100.00%,100.00%,0.000,0,15
