problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5
autobus,RUNTIME_ERROR,0,16.33%,0.000,0,,0,0,0,0,0,0
karte,TIME_LIMIT_EXCEEDED,11,43.28%,1.240,0.00390625,,0,11,0,0,0,0
bojanje,RUNTIME_ERROR,0,5.80%,0.000,0,,0,0,0,0,0,0
stablo,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
procesor,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0
wow,RUNTIME_ERROR,0,5.56%,0.000,0,,0,0,0,0,0,0
zid,TIME_LIMIT_EXCEEDED,17,33.33%,1.130,1.55859375,,17,0,0,0,0,0
tornjevi,TIME_LIMIT_EXCEEDED,50,74.07%,2.210,5.16796875,,7,0,17,0,26,0
crtez,RUNTIME_ERROR,0,0.00%,0.060,0.00390625,,0,0,0,0,0,0
stablo,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
sah,ACCEPTED,50,100.00%,0.090,0.00390625,,13,19,18,0,0,0
benzinska,ACCEPTED,70,100.00%,0.120,5.671875,,15,30,25,0,0,0
xor,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0
cipele,RUNTIME_ERROR,0,0.00%,0.290,14.1875,,0,0,0,0,0,0
tura,RUNTIME_ERROR,0,0.72%,0.070,2.5859375,,0,0,0,0,0,0
paradoks,RUNTIME_ERROR,0,7.69%,0.000,0,,0,0,0,0,0,0
igre,RUNTIME_ERROR,6,59.18%,0.120,1.55859375,,6,0,0,0,0,0
razlicitost,TIME_LIMIT_EXCEEDED,25,37.21%,2.210,4.39453125,,25,0,0,0,0,0
blistavost,RUNTIME_ERROR,0,3.28%,0.070,1.55078125,,0,0,0,0,0,0
trokuti,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
osobna,RUNTIME_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
skokovi,TIME_LIMIT_EXCEEDED,25,47.92%,5.530,2.84765625,,0,25,0,0,0,0
hijerarhija,RUNTIME_ERROR,0,36.11%,0.310,33.58203125,,0,0,0,0,0,0
uciteljica,TIME_LIMIT_EXCEEDED,0,3.28%,5.520,0.00390625,,0,0,0,0,0,0
zbunjenost,MEMORY_LIMIT_EXCEEDED,13,33.87%,1.330,559.73046875,,13,0,0,0,0,0
TOTAL,,267,24.31%,,,8.00%,,,,,,
