problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_10,subtask_11,subtask_12,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
Dreaming_is_not_harmful,RUNTIME_ERROR,0,0.00%,3.77%,0.100,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Cute_Subsequences,TIME_LIMIT_EXCEEDED,0,0.00%,2.25%,1.200,29.91796875,,0,0,0,0,0,0,0,0,0,0,0,0,0
The_arithmetic_exercise,RUNTIME_ERROR,4,4.00%,13.04%,0.120,4.625,,0,4.0,0,0,0,0,0,0,0,0,0,0,0
Alice_Bob_and_two_arrays,ACCEPTED,100,100.00%,100.00%,1.020,11.09765625,,0.0,13.0,10.0,7.0,0,12.0,11.0,8.0,10.0,7.0,6.0,7.0,9.0
Card_Flip,RUNTIME_ERROR,0,0.00%,19.09%,0.270,12.890625,,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Order_Statistics,TIME_LIMIT_EXCEEDED,4,4.00%,39.89%,4.810,4.40625,,0,4.0,0,0,0,0,0,0,0,0,0,0,0
Best_Runner,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Strong_Connectivity_Strikes_Back,ACCEPTED,100,100.00%,100.00%,0.120,1.4375,,0.0,11.0,0,0,0,9.0,12.0,13.0,20.0,21.0,14.0,0,0
Colorful_Diameter,TIME_LIMIT_EXCEEDED,0,0.00%,4.10%,8.440,5.16796875,,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Road_Lighting,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Repainting_the_Table,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Distinctive_Features,MEMORY_LIMIT_EXCEEDED,30,30.00%,48.79%,3.350,596.328125,,0.0,10.0,0,0,0,7.0,13.0,0,0,0,0,0,0
Classic_Tree_Problem,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Alien_Homophones,TIME_LIMIT_EXCEEDED,38,38.00%,87.47%,2.410,25.8984375,,0.0,8.0,0,0,0,7.0,0,0,0,6.0,7.0,10.0,0
Stone_Enthusiast,RUNTIME_ERROR,0,0.00%,5.04%,0.220,2.82421875,,0,0,0,0,0,0,0,0,0,0,0,0,0
Egors_Gaming_Addiction,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Ultrafast_train,ACCEPTED,100,100.00%,100.00%,0.140,7.96875,,0.0,17.0,0,0,0,13.0,12.0,26.0,32.0,0,0,0,0
TOTAL,,376,,30.79%,,,17.65%,,,,,,,,,,,,,
