problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_10,subtask_11,subtask_12,subtask_13,subtask_14,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
Dreaming_is_not_harmful,TIME_LIMIT_EXCEEDED,32,73.05%,2.240,38.16796875,,0.0,0,0,0,0,0,0,0,8.0,13.0,11.0,0,0,0,0
Cute_Subsequences,RUNTIME_ERROR,57,62.16%,0.110,20.765625,,0.0,0,0,0,0,0,0,19.0,17.0,21.0,0,0,0,0,0
The_arithmetic_exercise,TIME_LIMIT_EXCEEDED,58,78.47%,2.240,6.19921875,,0.0,0,0,0,0,0,0,8.0,11.0,9.0,8.0,10.0,12.0,0,0
Alice_Bob_and_two_arrays,TIME_LIMIT_EXCEEDED,62,77.58%,2.770,236.015625,,0.0,13.0,0,0,0,0,0,0,11.0,8.0,10.0,7.0,6.0,7.0,0
Card_Flip,RUNTIME_ERROR,19,43.70%,0.720,33.77734375,,0.0,0,0,0,0,0,0,0,9.0,10.0,0,0,0,0,0
Order_Statistics,RUNTIME_ERROR,59,92.14%,0.640,46.28125,,0,4.0,0,0,0,0,0,5.0,6.0,7.0,11.0,9.0,10.0,7.0,0
Best_Runner,RUNTIME_ERROR,60,52.82%,0.330,117.1171875,,0.0,23.0,0,0,0,0,0,10.0,16.0,0,11.0,0,0,0,0
Strong_Connectivity_Strikes_Back,ACCEPTED,100,100.00%,0.110,1.8125,,0.0,11.0,0,0,0,0,0,9.0,12.0,13.0,20.0,21.0,14.0,0,0
Colorful_Diameter,TIME_LIMIT_EXCEEDED,43,75.10%,7.710,27.828125,,0.0,10.0,0,0,0,0,0,8.0,0,14.0,0,11.0,0,0,0
Road_Lighting,RUNTIME_ERROR,14,38.66%,0.380,8.19921875,,0.0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Repainting_the_Table,ACCEPTED,100,100.00%,0.500,140.65625,,0.0,17.0,0,0,0,0,0,21.0,34.0,28.0,0,0,0,0,0
Distinctive_Features,ACCEPTED,100,100.00%,0.530,47.4765625,,0.0,10.0,0,0,0,0,0,7.0,13.0,19.0,7.0,10.0,12.0,7.0,15.0
Classic_Tree_Problem,RUNTIME_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alien_Homophones,ACCEPTED,100,100.00%,0.830,316.6328125,,0.0,8.0,11.0,0,0,0,0,7.0,9.0,15.0,8.0,6.0,7.0,10.0,19.0
Stone_Enthusiast,ACCEPTED,100,100.00%,0.350,21.77734375,,0.0,16.0,0,0,0,0,0,14.0,12.0,16.0,11.0,17.0,14.0,0,0
Egors_Gaming_Addiction,ACCEPTED,100,100.00%,0.690,227.07421875,,0.0,8.0,0,0,0,0,0,7.0,9.0,12.0,19.0,10.0,14.0,21.0,0
Ultrafast_train,ACCEPTED,100,100.00%,0.200,18.40234375,,0.0,17.0,0,0,0,0,0,13.0,12.0,26.0,32.0,0,0,0,0
TOTAL,,1104,76.10%,,,41.18%,,,,,,,,,,,,,,,
