solution,status,score,relative_score,%test passed,time,memory,subtask_0,subtask_1,subtask_10,subtask_11,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
bronze_Farmer_John_Actually_Farms_gpt-oss-120b_0.cpp,ACCEPTED,333,100.91%,100.00%,0.070,4.95703125,0,30.3030303030303,30.3030303030303,30.3030303030303,30.3030303030303,30.3030303030303,30.3030303030303,30.3030303030303,30.3030303030303,30.3030303030303,30.3030303030303,30.3030303030303
bronze_Farmer_John_Actually_Farms_gpt-oss-120b_1.cpp,ACCEPTED,333,100.91%,100.00%,0.060,4.95703125,0,30.3030303030303,30.3030303030303,30.3030303030303,30.3030303030303,30.3030303030303,30.3030303030303,30.3030303030303,30.3030303030303,30.3030303030303,30.3030303030303,30.3030303030303
bronze_Farmer_John_Actually_Farms_gpt-oss-120b_2.cpp,ACCEPTED,333,100.91%,100.00%,0.060,4.4375,0,30.3030303030303,30.3030303030303,30.3030303030303,30.3030303030303,30.3030303030303,30.3030303030303,30.3030303030303,30.3030303030303,30.3030303030303,30.3030303030303,30.3030303030303
bronze_Farmer_John_Actually_Farms_gpt-oss-120b_3.cpp,ACCEPTED,333,100.91%,100.00%,0.060,4.95703125,0,30.3030303030303,30.3030303030303,30.3030303030303,30.3030303030303,30.3030303030303,30.3030303030303,30.3030303030303,30.3030303030303,30.3030303030303,30.3030303030303,30.3030303030303
bronze_Farmer_John_Actually_Farms_gpt-oss-120b_4.cpp,ACCEPTED,333,100.91%,100.00%,0.050,4.4453125,0,30.3030303030303,30.3030303030303,30.3030303030303,30.3030303030303,30.3030303030303,30.3030303030303,30.3030303030303,30.3030303030303,30.3030303030303,30.3030303030303,30.3030303030303
bronze_Farmer_John_Actually_Farms_gpt-oss-120b_5.cpp,ACCEPTED,333,100.91%,100.00%,0.060,4.953125,0,30.3030303030303,30.3030303030303,30.3030303030303,30.3030303030303,30.3030303030303,30.3030303030303,30.3030303030303,30.3030303030303,30.3030303030303,30.3030303030303,30.3030303030303
bronze_Farmer_John_Actually_Farms_gpt-oss-120b_6.cpp,ACCEPTED,333,100.91%,100.00%,0.070,4.953125,0,30.3030303030303,30.3030303030303,30.3030303030303,30.3030303030303,30.3030303030303,30.3030303030303,30.3030303030303,30.3030303030303,30.3030303030303,30.3030303030303,30.3030303030303
bronze_Farmer_John_Actually_Farms_gpt-oss-120b_7.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0
bronze_Farmer_John_Actually_Farms_gpt-oss-120b_7.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0
bronze_Farmer_John_Actually_Farms_gpt-oss-120b_7.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0
bronze_Farmer_John_Actually_Farms_gpt-oss-120b_7.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0
bronze_Farmer_John_Actually_Farms_gpt-oss-120b_7.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0
