Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,an2dl,an2dl_rel,kocke,kocke_rel,labirint,labirint_rel,mostovi,mostovi_rel,sudoku,sudoku_rel
gpt-oss-120b-high,340.00,,80.00%,80.00%,0.172,20.52,5,110.00,,110.00,,70.00,,0.00,,50.00,
gpt-5,260.00,,74.02%,60.00%,0.858,22.22,5,110.00,,0.00,,70.00,,30.00,,50.00,
gemini-2.5-flash,260.00,,74.02%,60.00%,0.896,28.45,5,110.00,,0.00,,70.00,,30.00,,50.00,
gemini-2.5-pro,260.00,,74.02%,60.00%,0.898,21.87,5,110.00,,0.00,,70.00,,30.00,,50.00,
gpt-o3-mini-high,260.00,,74.02%,60.00%,0.902,21.43,5,110.00,,0.00,,70.00,,30.00,,50.00,
deepseek-reasoner,260.00,,74.02%,60.00%,0.906,24.88,5,110.00,,0.00,,70.00,,30.00,,50.00,
Qwen3-32B,260.00,,74.02%,60.00%,0.916,26.39,5,110.00,,0.00,,70.00,,30.00,,50.00,
Qwen3-14B,260.00,,74.02%,60.00%,0.918,21.97,5,110.00,,0.00,,70.00,,30.00,,50.00,
gpt-4.1,260.00,,74.02%,60.00%,0.918,22.43,5,110.00,,0.00,,70.00,,30.00,,50.00,
Qwen3-30B,260.00,,74.02%,60.00%,0.928,25.05,5,110.00,,0.00,,70.00,,30.00,,50.00,
seed-oss_16384,260.00,,74.02%,60.00%,0.962,30.12,5,110.00,,0.00,,70.00,,30.00,,50.00,
seed-oss_-1,260.00,,74.02%,60.00%,0.976,21.82,5,110.00,,0.00,,70.00,,30.00,,50.00,
Qwen3-8B,260.00,,74.02%,60.00%,0.994,36.51,5,110.00,,0.00,,70.00,,30.00,,50.00,
Qwen3-4B,260.00,,74.02%,60.00%,1.008,22.34,5,110.00,,0.00,,70.00,,30.00,,50.00,
gpt-oss-20b-high,230.00,,100.00%,100.00%,0.213,34.19,3,110.00,,N/A,,70.00,,N/A,,50.00,
seed-oss_8192,230.00,,62.67%,60.00%,0.232,24.80,5,110.00,,0.00,,70.00,,0.00,,50.00,
gpt-oss-20b-low,230.00,,62.67%,60.00%,0.246,21.82,5,110.00,,0.00,,70.00,,0.00,,50.00,
seed-oss_4096,230.00,,62.67%,60.00%,0.248,23.79,5,110.00,,0.00,,70.00,,0.00,,50.00,
gpt-oss-20b-medium,230.00,,62.67%,60.00%,0.258,22.10,5,110.00,,0.00,,70.00,,0.00,,50.00,
gpt-oss-120b-low,230.00,,62.67%,60.00%,0.260,22.07,5,110.00,,0.00,,70.00,,0.00,,50.00,
QwQ-32B,230.00,,62.67%,60.00%,0.276,23.41,5,110.00,,0.00,,70.00,,0.00,,50.00,
gpt-oss-120b-medium,230.00,60.00%,62.74%,60.00%,0.276,26.72,5,110.00,100.00%,0.00,0.00%,70.00,100.00%,0.00,0.00%,50.00,100.00%
seed-oss_1024,230.00,,60.00%,60.00%,0.312,20.62,5,110.00,,0.00,,70.00,,0.00,,50.00,
DeepSeek-R1-Distill-Qwen-32B,230.00,,62.67%,60.00%,0.558,20.35,5,110.00,,0.00,,70.00,,0.00,,50.00,
DeepSeek-R1-Distill-Llama-70B,230.00,,62.67%,60.00%,0.600,137.47,5,110.00,,0.00,,70.00,,0.00,,50.00,
seed-oss_2048,230.00,,62.67%,60.00%,0.780,20.70,5,110.00,,0.00,,70.00,,0.00,,50.00,
deepseek-chat,214.00,,61.52%,40.00%,1.342,59.98,5,110.00,,0.00,,24.00,,30.00,,50.00,
Qwen3-32B-Non-Thinking,210.00,,63.16%,40.00%,0.958,29.44,5,110.00,,0.00,,70.00,,30.00,,0.00,
Qwen3-30B-Non-Thinking,180.00,,52.38%,40.00%,0.306,27.37,5,110.00,,0.00,,70.00,,0.00,,0.00,
