problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7
s1j4,ACCEPTED,15,100.00%,100.00%,0.050,2.84765625,,3,3,5,4,0,0,0,0
s2,ACCEPTED,15,100.00%,100.00%,0.040,0.00390625,,5,5,5,0,0,0,0,0
s3,RUNTIME_ERROR,2,13.33%,13.10%,0.040,5.16796875,,2,0,0,0,0,0,0,0
s4,ACCEPTED,15,100.00%,100.00%,0.170,1.578125,,3,6,6,0,0,0,0,0
s5,RUNTIME_ERROR,7,46.67%,59.38%,0.150,25.26953125,,3,4,0,0,0,0,0,0
d1p1,ACCEPTED,25,100.00%,100.00%,0.070,19.08984375,,3,3,4,4,4,7,0,0
d1p2,MEMORY_LIMIT_EXCEEDED,0,0.00%,1.90%,1.370,1216.6171875,,0,0,0,0,0,0,0,0
d1p3,RUNTIME_ERROR,0,0.00%,4.81%,0.140,12.90234375,,0,0,0,0,0,0,0,0
d2p1,RUNTIME_ERROR,1,4.00%,29.46%,0.040,1.49609375,,1,0,0,0,0,0,0,0
d2p2,TIME_LIMIT_EXCEEDED,0,0.00%,7.81%,2.410,1205.484375,,0,0,0,0,0,0,0,0
d2p3,RUNTIME_ERROR,0,0.00%,52.83%,0.160,10.89453125,,0,0,0,0,0,0,0,0
j1,ACCEPTED,15,100.00%,100.00%,0.000,0,,15,0,0,0,0,0,0,0
j2,ACCEPTED,15,100.00%,100.00%,0.000,0,,15,0,0,0,0,0,0,0
j3,ACCEPTED,15,100.00%,100.00%,0.000,0,,6,6,3,0,0,0,0,0
s1j4,ACCEPTED,15,100.00%,100.00%,0.050,2.84765625,,3,3,5,4,0,0,0,0
j5,ACCEPTED,15,100.00%,100.00%,0.000,0,,2,2,2,9,0,0,0,0
TOTAL,,155,,66.83%,,,56.25%,,,,,,,,
