competition_year,ACCEPTED,WRONG_ANSWER,TIME_LIMIT_EXCEEDED,MEMORY_LIMIT_EXCEEDED,COMPILATION_ERROR,RUNTIME_ERROR,UNKNOWN,empty solutions
ALL_COMPETITIONS,250,464,370,104,20531,1584,3410,6935
APIO-2023,0,0,0,0,8,4,0,12
APIO-2024,0,0,0,0,16,2,0,6
BOI-2023,0,0,0,0,31,1,0,16
BOI-2024,0,0,0,0,32,2,0,14
BOI-2025,0,0,1,0,27,1,4,15
CCO-2023,0,0,0,0,0,0,0,0
CCO-2024,0,0,0,0,0,0,0,0
CEOI-2023,0,0,0,0,20,4,0,24
CEOI-2024,0,0,2,0,27,4,8,7
COCI-2023,0,0,0,0,0,0,0,0
COCI-2024,0,0,0,0,0,0,0,0
COCI-2025,0,0,0,0,0,0,0,0
EGOI-2023,0,0,0,0,20,6,15,23
EGOI-2024,0,0,0,0,35,10,4,15
EJOI-2023,0,0,2,1,32,0,6,7
EJOI-2024,0,0,1,0,37,1,0,9
IATI-2024,0,0,0,0,0,0,0,0
IOI-2023,0,0,4,0,26,9,0,9
IOI-2024,0,0,3,1,21,9,0,14
JOI-2023,0,0,0,0,97,13,5,45
JOI-2024,0,0,0,0,115,9,6,30
NOINordic-2023,0,0,2,0,12,1,7,2
NOINordic-2024,0,0,0,0,14,1,6,3
NOINordic-2025,0,0,1,0,14,1,0,8
OOI-2023,3,0,2,0,2,9,92,28
OOI-2024,0,0,2,0,0,5,102,27
RMI-2023,0,0,0,0,28,0,8,12
RMI-2024,0,0,0,2,10,1,13,22
USACO-2023,3,12,2,1,283,9,0,74
USACO-2024,0,15,3,1,301,6,0,58
USACO-2025,0,11,1,1,226,3,0,46
