problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
eurokod,RUNTIME_ERROR,17,33.33%,0.000,0,,17,0,0,0,0
vrsar,TIME_LIMIT_EXCEEDED,0,0.00%,1.110,6.97265625,,0,0,0,0,0
milano,ACCEPTED,110,100.00%,0.160,4.6328125,,21,18,31,40,0
restorani,RUNTIME_ERROR,0,0.68%,0.150,22.9765625,,0,0,0,0,0
cesta,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
zlagalica,RUNTIME_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
bitovi,RUNTIME_ERROR,0,0.00%,0.060,2.0703125,,0,0,0,0,0
piratski,TIME_LIMIT_EXCEEDED,0,0.00%,2.210,37.27734375,,0,0,0,0,0
rolete,TIME_LIMIT_EXCEEDED,0,0.00%,2.210,2.07421875,,0,0,0,0,0
trokut,RUNTIME_ERROR,0,0.00%,0.060,0.00390625,,0,0,0,0,0
bingo,RUNTIME_ERROR,34,59.09%,0.000,0,,12,22,0,0,0
knjige,RUNTIME_ERROR,0,0.00%,0.110,2.33203125,,0,0,0,0,0
lepeze,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
putovanje,TIME_LIMIT_EXCEEDED,45,48.20%,2.280,4.625,,10,0,35,0,0
roboti,TIME_LIMIT_EXCEEDED,0,2.27%,2.230,558.421875,,0,0,0,0,0
pahuljice,RUNTIME_ERROR,0,22.22%,0.000,0,,0,0,0,0,0
pingvin,ACCEPTED,70,100.00%,0.090,6.44921875,,7,16,22,25,0
dizalo,TIME_LIMIT_EXCEEDED,0,0.00%,3.310,2.0703125,,0,0,0,0,0
kuglice,RUNTIME_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
zatopljenje,RUNTIME_ERROR,0,0.00%,0.060,0.00390625,,0,0,0,0,0
sudoku,RUNTIME_ERROR,0,45.71%,0.000,0,,0,0,0,0,0
labirint,RUNTIME_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
an2dl,TIME_LIMIT_EXCEEDED,29,83.33%,4.810,67.04296875,,12,17,0,0,0
kocke,RUNTIME_ERROR,0,3.33%,0.000,0,,0,0,0,0,0
mostovi,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
TOTAL,,305,19.93%,,,8.00%,,,,,
