Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,Colorful_graph,Colorful_graph_rel,Hard_problem,Hard_problem_rel,Legs_warm-up_exercise,Legs_warm-up_exercise_rel,Lunch,Lunch_rel,Paired_roads,Paired_roads_rel,Space_accident,Space_accident_rel,Tournament,Tournament_rel,Yet_another_queries,Yet_another_queries_rel,You_need_to_train_more,You_need_to_train_more_rel
gpt-5,698.00,77.56%,86.61%,66.67%,1.053,11.53,9,100.00,100.00%,100.00,100.00%,18.00,18.00%,100.00,100.00%,0.00,0.00%,100.00,100.00%,80.00,80.00%,100.00,100.00%,100.00,100.00%
gpt-oss-120b-high,680.00,75.56%,81.82%,66.67%,0.287,16.83,9,100.00,100.00%,100.00,100.00%,0.00,0.00%,100.00,100.00%,0.00,0.00%,100.00,100.00%,80.00,80.00%,100.00,100.00%,100.00,100.00%
grok-4-fast-reasoning,677.00,75.22%,86.06%,44.44%,1.584,16.43,9,100.00,100.00%,100.00,100.00%,18.00,18.00%,82.00,82.00%,30.00,30.00%,100.00,100.00%,80.00,80.00%,67.00,67.00%,100.00,100.00%
gpt-oss-120b_sp2,646.00,71.78%,77.08%,66.67%,0.179,83.28,9,100.00,100.00%,100.00,100.00%,0.00,0.00%,46.00,46.00%,0.00,0.00%,100.00,100.00%,100.00,100.00%,100.00,100.00%,100.00,100.00%
gpt-oss-120b-low,616.00,68.44%,71.04%,66.67%,0.216,14.99,9,100.00,100.00%,100.00,100.00%,0.00,0.00%,16.00,16.00%,0.00,0.00%,100.00,100.00%,100.00,100.00%,100.00,100.00%,100.00,100.00%
gpt-oss-20b-medium,616.00,68.44%,69.44%,66.67%,0.276,8.98,9,100.00,100.00%,100.00,100.00%,0.00,0.00%,16.00,16.00%,0.00,0.00%,100.00,100.00%,100.00,100.00%,100.00,100.00%,100.00,100.00%
gpt-o3-mini-high,616.00,68.44%,73.87%,66.67%,1.013,13.86,9,100.00,100.00%,100.00,100.00%,0.00,0.00%,16.00,16.00%,0.00,0.00%,100.00,100.00%,100.00,100.00%,100.00,100.00%,100.00,100.00%
gpt-oss-120b_sp3,606.00,67.33%,73.92%,55.56%,0.942,13.40,9,100.00,100.00%,100.00,100.00%,10.00,10.00%,16.00,16.00%,0.00,0.00%,100.00,100.00%,80.00,80.00%,100.00,100.00%,100.00,100.00%
seed-oss_-1,593.00,65.89%,71.50%,55.56%,1.104,10.12,9,100.00,100.00%,100.00,100.00%,10.00,10.00%,16.00,16.00%,0.00,0.00%,100.00,100.00%,100.00,100.00%,67.00,67.00%,100.00,100.00%
gpt-oss-120b-medium,583.00,64.78%,76.26%,55.56%,1.020,15.65,9,100.00,100.00%,100.00,100.00%,18.00,18.00%,16.00,16.00%,0.00,0.00%,49.00,49.00%,100.00,100.00%,100.00,100.00%,100.00,100.00%
gemini-2.5-pro,583.00,64.78%,78.27%,44.44%,1.424,39.04,9,64.00,64.00%,100.00,100.00%,10.00,10.00%,29.00,29.00%,0.00,0.00%,100.00,100.00%,80.00,80.00%,100.00,100.00%,100.00,100.00%
gpt-oss-120b_sp4,575.00,63.89%,73.46%,55.56%,0.986,15.00,9,100.00,100.00%,100.00,100.00%,10.00,10.00%,16.00,16.00%,0.00,0.00%,49.00,49.00%,100.00,100.00%,100.00,100.00%,100.00,100.00%
gemini-2.5-flash,558.00,62.00%,77.21%,33.33%,2.061,57.36,9,64.00,64.00%,100.00,100.00%,18.00,18.00%,29.00,29.00%,0.00,0.00%,100.00,100.00%,80.00,80.00%,67.00,67.00%,100.00,100.00%
gpt-oss-120b_sp1,537.00,59.67%,70.68%,44.44%,1.193,38.49,9,77.00,77.00%,100.00,100.00%,18.00,18.00%,16.00,16.00%,0.00,0.00%,26.00,26.00%,100.00,100.00%,100.00,100.00%,100.00,100.00%
seed-oss_16384,512.00,,65.63%,33.33%,0.233,12.35,9,100.00,,100.00,,0.00,,16.00,,0.00,,49.00,,80.00,,67.00,,100.00,
gpt-oss-20b-low,484.00,53.78%,60.31%,44.44%,0.294,4.85,9,100.00,100.00%,100.00,100.00%,0.00,0.00%,16.00,16.00%,0.00,0.00%,49.00,49.00%,100.00,100.00%,19.00,19.00%,100.00,100.00%
gpt-oss-20b-high,480.00,68.57%,71.02%,57.14%,0.244,12.76,7,100.00,100.00%,N/A,N/A,0.00,0.00%,N/A,N/A,0.00,0.00%,100.00,100.00%,80.00,80.00%,100.00,100.00%,100.00,100.00%
deepseek-reasoner,472.00,52.44%,64.41%,33.33%,0.300,7.65,9,100.00,100.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,25.00,25.00%,80.00,80.00%,67.00,67.00%,100.00,100.00%
Qwen3-14B,461.00,,59.69%,44.44%,0.274,4.69,9,100.00,,100.00,,0.00,,16.00,,0.00,,26.00,,100.00,,19.00,,100.00,
Qwen3-32B,456.00,,60.00%,33.33%,0.230,4.88,9,100.00,,100.00,,0.00,,16.00,,0.00,,41.00,,80.00,,19.00,,100.00,
seed-oss_8192,453.00,,56.06%,33.33%,0.266,40.36,9,100.00,,100.00,,0.00,,16.00,,0.00,,100.00,,80.00,,57.00,,0.00,
OpenCodeReasoning-Nemotron-32B-IOI,445.00,49.44%,57.18%,33.33%,0.264,12.04,9,100.00,100.00%,100.00,100.00%,0.00,0.00%,16.00,16.00%,0.00,0.00%,49.00,49.00%,80.00,80.00%,0.00,0.00%,100.00,100.00%
Qwen3-30B,441.00,,59.00%,33.33%,0.627,4.48,9,100.00,,100.00,,0.00,,16.00,,0.00,,26.00,,80.00,,19.00,,100.00,
claude-sonnet-4.5,410.00,45.56%,62.22%,33.33%,1.963,40.40,9,0.00,0.00%,65.00,65.00%,10.00,10.00%,16.00,16.00%,0.00,0.00%,100.00,100.00%,100.00,100.00%,19.00,19.00%,100.00,100.00%
Qwen3-4B,408.00,45.33%,54.28%,33.33%,0.400,5.16,9,100.00,100.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,15.00,15.00%,100.00,100.00%,19.00,19.00%,74.00,74.00%
Qwen3-8B,408.00,45.33%,53.80%,33.33%,0.417,6.64,9,100.00,100.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,15.00,15.00%,100.00,100.00%,19.00,19.00%,74.00,74.00%
DeepSeek-R1-Distill-Llama-70B,377.00,41.89%,56.51%,22.22%,0.508,33.41,9,100.00,100.00%,100.00,100.00%,0.00,0.00%,16.00,16.00%,0.00,0.00%,25.00,25.00%,80.00,80.00%,19.00,19.00%,37.00,37.00%
