problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6
s1,ACCEPTED,15,100.00%,100.00%,0.270,5.16796875,,2,1,2,5,5,0,0
s2,RUNTIME_ERROR,5,33.33%,33.33%,0.070,0.00390625,,5,0,0,0,0,0,0
s3,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0
s4,RUNTIME_ERROR,0,0.00%,0.00%,0.070,12.90234375,,0,0,0,0,0,0,0
s5,MEMORY_LIMIT_EXCEEDED,0,0.00%,0.88%,0.070,16.51171875,,0,0,0,0,0,0,0
d1p1,TIME_LIMIT_EXCEEDED,5,20.00%,23.21%,4.810,75.29296875,,5,0,0,0,0,0,0
d1p2,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0
d1p3,RUNTIME_ERROR,0,0.00%,0.85%,0.240,42.03125,,0,0,0,0,0,0,0
d2p1,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0
d2p2,RUNTIME_ERROR,0,0.00%,0.56%,0.120,3.87890625,,0,0,0,0,0,0,0
d2p3,RUNTIME_ERROR,0,0.00%,1.15%,0.140,264.64453125,,0,0,0,0,0,0,0
j1,ACCEPTED,15,100.00%,100.00%,0.000,0,,15,0,0,0,0,0,0
j2,RUNTIME_ERROR,0,0.00%,40.00%,0.040,0,,0,0,0,0,0,0,0
j3,RUNTIME_ERROR,6,40.00%,22.22%,0.060,2.328125,,6,0,0,0,0,0,0
j4,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0
j5,ACCEPTED,15,100.00%,100.00%,0.050,1.5546875,,1,4,5,5,0,0,0
TOTAL,,61,,26.39%,,,18.75%,,,,,,,
