competition_year,model,total_score,avg %passed,avg_time,avg_mem,pass_rate
ALL_COMPETITIONS,gpt-oss-120b-low,23220,43.56%,0.41,38.93,28.71%
APIO-2023,gpt-oss-120b-low,24,15.80%,0.97,17.80,0.00%
APIO-2024,gpt-oss-120b-low,105,39.29%,0.16,11.58,33.33%
BOI-2023,gpt-oss-120b-low,47,36.59%,1.01,3.20,0.00%
BOI-2024,gpt-oss-120b-low,232,47.95%,0.11,28.26,33.33%
BOI-2025,gpt-oss-120b-low,32,11.42%,0.24,199.57,0.00%
CCO-2023,gpt-oss-120b-low,140,60.16%,0.08,14.14,50.00%
CCO-2024,gpt-oss-120b-low,15,100.00%,0.02,0.00,100.00%
CEOI-2023,gpt-oss-120b-low,0,5.75%,0.15,409.34,0.00%
CEOI-2024,gpt-oss-120b-low,155,48.20%,0.07,18.86,16.67%
COCI-2023,gpt-oss-120b-low,1439,68.56%,0.36,15.64,64.00%
COCI-2024,gpt-oss-120b-low,1045,55.95%,0.32,9.38,48.00%
COCI-2025,gpt-oss-120b-low,1112,60.66%,0.39,25.33,52.00%
EGOI-2023,gpt-oss-120b-low,200,25.36%,0.03,4.23,25.00%
EGOI-2024,gpt-oss-120b-low,95,33.72%,0.17,8.34,0.00%
EJOI-2023,gpt-oss-120b-low,95,16.59%,0.47,17.35,0.00%
EJOI-2024,gpt-oss-120b-low,319,58.17%,0.23,28.99,50.00%
IATI-2024,gpt-oss-120b-low,0,7.38%,0.04,2.07,0.00%
IOI-2023,gpt-oss-120b-low,32,13.36%,0.37,9.42,0.00%
IOI-2024,gpt-oss-120b-low,90,29.59%,1.02,7.94,0.00%
JOI-2023,gpt-oss-120b-low,328,29.38%,0.16,8.30,15.00%
JOI-2024,gpt-oss-120b-low,266,27.89%,0.61,45.37,10.00%
JOI-2025,gpt-oss-120b-low,161,45.84%,1.31,30.73,20.00%
NOINordic-2023,gpt-oss-120b-low,212,85.02%,0.44,98.75,66.67%
NOINordic-2024,gpt-oss-120b-low,104,52.27%,0.08,4.40,33.33%
NOINordic-2025,gpt-oss-120b-low,0,10.96%,0.79,41.31,0.00%
OOI-2023,gpt-oss-120b-low,843,55.58%,0.27,38.65,41.18%
OOI-2024,gpt-oss-120b-low,835,59.64%,1.00,47.38,35.29%
RMI-2023,gpt-oss-120b-low,159,43.57%,0.89,31.46,16.67%
RMI-2024,gpt-oss-120b-low,191,43.77%,0.76,24.31,16.67%
USACO-2023,gpt-oss-120b-low,8923,57.05%,0.34,25.41,50.00%
USACO-2024,gpt-oss-120b-low,333,100.00%,0.05,1.61,100.00%
USACO-2025,gpt-oss-120b-low,5688,48.59%,0.35,16.66,41.67%
