competition_year,ACCEPTED,WRONG_ANSWER,TIME_LIMIT_EXCEEDED,MEMORY_LIMIT_EXCEEDED,COMPILATION_ERROR,RUNTIME_ERROR,UNKNOWN,empty solutions
ALL_COMPETITIONS,1935,714,892,207,323,4692,176,85
APIO-2023,0,0,3,1,6,14,0,0
APIO-2024,1,0,0,0,11,12,0,0
BOI-2023,0,0,8,0,0,40,0,0
BOI-2024,5,0,2,0,0,41,0,0
BOI-2025,0,0,5,5,0,38,0,0
CCO-2023,42,0,7,0,2,71,0,6
CCO-2024,0,0,0,0,0,0,0,0
CEOI-2023,0,0,2,1,9,36,0,0
CEOI-2024,1,0,0,1,0,46,0,0
COCI-2023,86,1,10,1,3,86,8,5
COCI-2024,81,7,14,3,1,94,0,0
COCI-2025,70,0,19,1,3,91,16,0
EGOI-2023,12,0,6,0,0,38,8,0
EGOI-2024,0,0,2,1,1,51,9,0
EJOI-2023,0,0,16,1,2,28,0,1
EJOI-2024,17,0,10,0,1,20,0,0
IATI-2024,0,0,0,0,0,0,0,0
IOI-2023,0,0,0,1,1,46,0,0
IOI-2024,0,0,7,0,1,40,0,0
JOI-2023,8,0,9,4,17,112,3,7
JOI-2024,6,0,24,1,29,96,0,4
JOI-2025,5,0,7,0,2,26,0,0
NOINordic-2023,16,0,1,0,0,4,3,0
NOINordic-2024,6,0,0,0,0,17,1,0
NOINordic-2025,0,0,6,1,1,16,0,0
OOI-2023,25,0,14,7,0,86,4,0
OOI-2024,23,0,15,4,0,89,5,0
RMI-2023,1,0,9,4,2,32,0,0
RMI-2024,5,0,11,0,5,26,1,0
USACO-2023,128,113,29,16,3,95,0,0
USACO-2024,0,0,0,0,0,0,0,0
USACO-2025,64,76,37,8,5,98,0,0
