problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_10,subtask_11,subtask_12,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
Dreaming_is_not_harmful,RUNTIME_ERROR,0,0.00%,3.77%,0.100,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Cute_Subsequences,RUNTIME_ERROR,0,0.00%,20.79%,0.100,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0
The_arithmetic_exercise,RUNTIME_ERROR,4,4.00%,13.04%,0.120,3.1171875,,0,4.0,0,0,0,0,0,0,0,0,0,0,0
Alice_Bob_and_two_arrays,ACCEPTED,100,100.00%,100.00%,0.420,11.1015625,,0.0,13.0,10.0,7.0,0,12.0,11.0,8.0,10.0,7.0,6.0,7.0,9.0
Card_Flip,RUNTIME_ERROR,0,0.00%,11.76%,0.310,30.296875,,0,0,0,0,0,0,0,0,0,0,0,0,0
Order_Statistics,TIME_LIMIT_EXCEEDED,4,4.00%,47.45%,4.810,4.375,,0.0,4.0,0,0,0,0,0,0,0,0,0,0,0
Best_Runner,RUNTIME_ERROR,34,34.00%,37.10%,0.130,4.91015625,,0.0,23.0,0,0,0,0,0,0,11.0,0,0,0,0
Strong_Connectivity_Strikes_Back,ACCEPTED,100,100.00%,100.00%,0.140,2.32421875,,0.0,11.0,0,0,0,9.0,12.0,13.0,20.0,21.0,14.0,0,0
Colorful_Diameter,TIME_LIMIT_EXCEEDED,18,18.00%,54.38%,8.410,13.9140625,,0.0,10.0,0,0,0,8.0,0,0,0,0,0,0,0
Road_Lighting,RUNTIME_ERROR,10,10.00%,18.56%,0.310,23.77734375,,0,0,0,0,0,0,10.0,0,0,0,0,0,0
Repainting_the_Table,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Distinctive_Features,TIME_LIMIT_EXCEEDED,30,30.00%,53.94%,3.600,43.578125,,0.0,10.0,0,0,0,7.0,13.0,0,0,0,0,0,0
Classic_Tree_Problem,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Alien_Homophones,TIME_LIMIT_EXCEEDED,38,38.00%,89.37%,2.570,2.06640625,,0.0,8.0,0,0,0,7.0,0,0,0,6.0,7.0,10.0,0
Stone_Enthusiast,ACCEPTED,100,100.00%,100.00%,0.490,2.8203125,,0.0,16.0,0,0,0,14.0,12.0,16.0,11.0,17.0,14.0,0,0
Egors_Gaming_Addiction,TIME_LIMIT_EXCEEDED,8,8.00%,37.89%,2.420,19.59765625,,0.0,8.0,0,0,0,0,0,0,0,0,0,0,0
Ultrafast_train,RUNTIME_ERROR,42,42.00%,85.96%,0.170,8.8828125,,0.0,17.0,0,0,0,13.0,12.0,0,0,0,0,0,0
TOTAL,,488,,45.53%,,,17.65%,,,,,,,,,,,,,
