problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5
autobus,RUNTIME_ERROR,0,16.33%,0.020,0.00390625,,0,0,0,0,0,0
karte,ACCEPTED,70,100.00%,0.120,0.00390625,,18,11,24,17,0,0
bojanje,RUNTIME_ERROR,0,5.80%,0.030,0.00390625,,0,0,0,0,0,0
stablo,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
procesor,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0
wow,ACCEPTED,50,100.00%,0.020,0,,21,13,16,0,0,0
zid,RUNTIME_ERROR,0,0.00%,0.020,0.00390625,,0,0,0,0,0,0
tornjevi,TIME_LIMIT_EXCEEDED,7,18.52%,2.410,54.6640625,,7,0,0,0,0,0
crtez,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
stablo,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
sah,ACCEPTED,50,100.00%,0.040,0.00390625,,13,19,18,0,0,0
benzinska,ACCEPTED,70,100.00%,0.060,6.1796875,,15,30,25,0,0,0
xor,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
cipele,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0
tura,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
paradoks,RUNTIME_ERROR,10,35.90%,0.030,0,,10,0,0,0,0,0
igre,ACCEPTED,70,100.00%,0.140,1.55859375,,6,13,23,28,0,0
razlicitost,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
blistavost,RUNTIME_ERROR,55,29.51%,0.030,0.00390625,,0,0,55,0,0,0
trokuti,RUNTIME_ERROR,13,25.96%,0.070,3.87109375,,13,0,0,0,0,0
osobna,ACCEPTED,50,100.00%,0.030,0,,25,15,10,0,0,0
skokovi,ACCEPTED,70,100.00%,0.050,3.62109375,,20,25,25,0,0,0
hijerarhija,RUNTIME_ERROR,22,52.78%,0.090,2.58984375,,7,0,0,15,0,0
uciteljica,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
zbunjenost,RUNTIME_ERROR,0,4.84%,0.040,11.6640625,,0,0,0,0,0,0
TOTAL,,537,35.59%,,,28.00%,,,,,,
