Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,d1p1,d1p1_rel,d1p2,d1p2_rel,d1p3,d1p3_rel,d2p1,d2p1_rel,d2p2,d2p2_rel,d2p3,d2p3_rel
gpt-oss-120b-high,79.00,,53.78%,33.33%,0.127,23.15,6,25.00,,0.00,,0.00,,18.00,,11.00,,25.00,
gpt-5,62.00,,47.24%,33.33%,0.228,77.28,6,25.00,,0.00,,0.00,,1.00,,11.00,,25.00,
gpt-oss-120b-medium,60.00,40.00%,45.74%,33.33%,0.285,33.41,6,25.00,100.00%,0.00,0.00%,0.00,0.00%,1.00,4.00%,9.00,36.00%,25.00,100.00%
gpt-o3-mini-high,38.00,,34.95%,16.67%,0.248,23.14,6,25.00,,0.00,,0.00,,1.00,,2.00,,10.00,
Qwen3-32B,36.00,,31.09%,16.67%,0.247,16.21,6,25.00,,0.00,,0.00,,9.00,,2.00,,0.00,
Qwen3-14B,36.00,,28.75%,16.67%,1.182,14.52,6,25.00,,0.00,,0.00,,9.00,,2.00,,0.00,
Qwen3-8B,34.00,,26.66%,16.67%,0.213,25.14,6,25.00,,0.00,,0.00,,9.00,,0.00,,0.00,
seed-oss_16384,31.00,,29.16%,16.67%,0.628,249.81,6,25.00,,0.00,,0.00,,4.00,,2.00,,0.00,
deepseek-reasoner,31.00,,27.76%,16.67%,1.553,14.49,6,25.00,,0.00,,0.00,,4.00,,2.00,,0.00,
QwQ-32B,31.00,,26.83%,0.00%,0.810,20.82,6,18.00,,0.00,,0.00,,13.00,,0.00,,0.00,
gpt-oss-20b-high,30.00,,84.91%,50.00%,0.290,30.79,2,25.00,,N/A,,N/A,,N/A,,N/A,,5.00,
gpt-oss-20b-low,28.00,,37.87%,20.00%,0.068,14.74,5,25.00,,N/A,,0.00,,1.00,,2.00,,0.00,
seed-oss_-1,28.00,,31.19%,16.67%,0.262,22.75,6,25.00,,0.00,,0.00,,1.00,,2.00,,0.00,
gpt-oss-20b-medium,28.00,,29.43%,16.67%,0.317,15.72,6,25.00,,0.00,,0.00,,1.00,,2.00,,0.00,
seed-oss_8192,28.00,,30.07%,16.67%,0.608,35.34,6,25.00,,0.00,,0.00,,1.00,,2.00,,0.00,
gemini-2.5-flash,28.00,,30.81%,16.67%,1.305,206.29,6,25.00,,0.00,,0.00,,1.00,,2.00,,0.00,
gpt-oss-120b-low,26.00,,31.89%,16.67%,0.157,29.68,6,25.00,,0.00,,0.00,,1.00,,0.00,,0.00,
Qwen3-30B,26.00,,23.90%,16.67%,0.513,132.83,6,25.00,,0.00,,0.00,,1.00,,0.00,,0.00,
gemini-2.5-pro,26.00,,32.80%,16.67%,0.697,377.98,6,25.00,,0.00,,0.00,,1.00,,0.00,,0.00,
Qwen3-4B,19.00,,28.79%,0.00%,1.170,200.88,6,18.00,,0.00,,0.00,,1.00,,0.00,,0.00,
DeepSeek-R1-Distill-Qwen-32B,14.00,,13.57%,0.00%,1.695,202.53,6,14.00,,0.00,,0.00,,0.00,,0.00,,0.00,
gpt-4.1,13.00,,16.08%,0.00%,1.745,30.18,6,10.00,,0.00,,0.00,,1.00,,2.00,,0.00,
seed-oss_2048,9.00,,9.40%,0.00%,0.053,13.35,6,0.00,,0.00,,0.00,,9.00,,0.00,,0.00,
Qwen3-8B-Non-Thinking,9.00,,9.16%,0.00%,1.185,6.58,6,0.00,,0.00,,0.00,,9.00,,0.00,,0.00,
Mistral-Large-Instruct-2411,6.00,,8.36%,0.00%,0.482,9.33,6,6.00,,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Llama-70B,6.00,,10.72%,0.00%,1.048,38.07,6,3.00,,0.00,,0.00,,1.00,,2.00,,0.00,
Qwen2.5-Coder-32B-Instruct,3.00,,6.94%,0.00%,1.108,205.69,6,0.00,,0.00,,0.00,,3.00,,0.00,,0.00,
seed-oss_0,1.00,,5.11%,0.00%,0.042,7.39,6,0.00,,0.00,,0.00,,1.00,,0.00,,0.00,
Codestral-22B-v0.1,1.00,,5.75%,0.00%,0.090,9.15,6,0.00,,0.00,,0.00,,1.00,,0.00,,0.00,
Mistral-Small-3.1-24B-2503,1.00,,2.48%,0.00%,0.108,4.18,6,0.00,,0.00,,0.00,,1.00,,0.00,,0.00,
Llama-3.1-8B-Instruct,1.00,,4.44%,0.00%,0.227,6.90,6,0.00,,0.00,,0.00,,1.00,,0.00,,0.00,
seed-oss_512,1.00,,7.30%,0.00%,0.243,11.35,6,0.00,,0.00,,0.00,,1.00,,0.00,,0.00,
