competition_year,ACCEPTED,WRONG_ANSWER,TIME_LIMIT_EXCEEDED,MEMORY_LIMIT_EXCEEDED,COMPILATION_ERROR,RUNTIME_ERROR,UNKNOWN,empty solutions
ALL_COMPETITIONS,842,1080,1207,652,2727,6541,1961,406
APIO-2023,0,0,4,4,1,11,1,3
APIO-2024,0,0,2,1,10,5,2,4
BOI-2023,0,0,2,0,5,35,1,5
BOI-2024,0,0,2,4,7,32,2,1
BOI-2025,0,0,1,2,5,36,3,1
CCO-2023,0,0,0,0,0,0,0,0
CCO-2024,0,0,0,0,0,0,0,0
CEOI-2023,0,0,7,2,11,20,6,2
CEOI-2024,0,0,3,3,9,27,4,2
COCI-2023,0,0,0,0,0,0,0,0
COCI-2024,44,4,15,6,32,75,19,5
COCI-2025,17,0,16,6,34,93,32,2
EGOI-2023,3,0,2,1,5,38,14,1
EGOI-2024,0,0,0,0,9,38,11,6
EJOI-2023,0,0,8,0,20,9,9,2
EJOI-2024,3,0,1,0,15,25,4,0
IATI-2024,5,6,9,3,13,37,10,5
IOI-2023,0,0,2,0,11,28,1,6
IOI-2024,0,0,3,2,14,26,2,1
JOI-2023,0,0,5,2,36,102,11,4
JOI-2024,0,0,6,4,49,93,4,4
JOI-2025,1,0,2,2,10,22,3,0
NOINordic-2023,1,0,1,0,4,9,7,2
NOINordic-2024,0,0,1,0,3,18,1,1
NOINordic-2025,0,0,5,0,11,6,2,0
OOI-2023,5,0,15,15,1,63,37,0
OOI-2024,2,0,10,5,0,66,51,2
RMI-2023,0,0,3,2,11,28,3,1
RMI-2024,1,0,3,1,11,27,5,0
USACO-2023,36,70,41,21,66,92,48,10
USACO-2024,24,62,38,24,71,113,49,3
USACO-2025,1,74,27,17,48,78,38,5
