competition_year,model,total_score,avg %passed,avg_time,avg_mem,pass_rate
ALL_COMPETITIONS,Qwen3-14B,21083,36.44%,0.57,41.00,19.98%
APIO-2023,Qwen3-14B,20,13.72%,0.15,24.72,0.00%
APIO-2024,Qwen3-14B,19,10.12%,0.45,4.24,0.00%
BOI-2023,Qwen3-14B,24,47.70%,0.05,5.36,0.00%
BOI-2024,Qwen3-14B,22,26.36%,1.32,7.93,0.00%
BOI-2025,Qwen3-14B,0,4.54%,0.17,32.11,0.00%
CCO-2023,Qwen3-14B,15,100.00%,0.04,0.00,100.00%
CCO-2024,Qwen3-14B,15,100.00%,0.00,0.00,100.00%
CEOI-2023,Qwen3-14B,0,0.98%,0.06,3.34,0.00%
CEOI-2024,Qwen3-14B,6,20.74%,0.51,37.28,0.00%
COCI-2023,Qwen3-14B,1135,56.05%,0.42,6.13,48.00%
COCI-2024,Qwen3-14B,1141,59.09%,0.45,13.31,52.00%
COCI-2025,Qwen3-14B,915,51.49%,0.71,18.73,40.00%
EGOI-2023,Qwen3-14B,200,29.54%,0.23,121.34,25.00%
EGOI-2024,Qwen3-14B,57,29.78%,0.36,77.26,0.00%
EJOI-2023,Qwen3-14B,79,14.88%,0.77,35.72,0.00%
EJOI-2024,Qwen3-14B,160,38.04%,0.70,31.15,16.67%
IATI-2024,Qwen3-14B,299,32.06%,0.21,55.42,18.18%
IOI-2023,Qwen3-14B,23,12.72%,0.07,11.32,0.00%
IOI-2024,Qwen3-14B,102,32.42%,1.04,379.72,0.00%
JOI-2023,Qwen3-14B,0,0.00%,0.00,0.00,0.00%
JOI-2024,Qwen3-14B,53,17.40%,0.35,21.14,0.00%
NOINordic-2023,Qwen3-14B,217,80.69%,0.65,193.74,66.67%
NOINordic-2024,Qwen3-14B,62,53.71%,0.79,4.38,0.00%
NOINordic-2025,Qwen3-14B,125,57.45%,3.46,12.37,33.33%
OOI-2023,Qwen3-14B,657,49.37%,0.37,34.16,23.53%
OOI-2024,Qwen3-14B,733,56.00%,1.39,18.49,29.41%
RMI-2023,Qwen3-14B,0,0.79%,0.00,0.00,0.00%
RMI-2024,Qwen3-14B,68,24.42%,0.49,57.94,0.00%
USACO-2023,Qwen3-14B,6409,43.77%,1.16,28.20,27.08%
USACO-2024,Qwen3-14B,5792,39.79%,0.82,29.83,22.92%
USACO-2025,Qwen3-14B,2735,25.95%,0.47,5.53,16.67%
