problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
five,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
game,RUNTIME_ERROR,0,2.70%,0.070,4.91796875,,0,0,0,0,0,0,0,0,0,0
lexgcd,RUNTIME_ERROR,0,7.38%,0.030,2.07421875,,0,0,0,0,0,0,0,0,0,0
ones,WRONG_ANSWER,25,0.00%,0.120,1.94921875,,4.70929,4.06906,3.35974,2.8991499999999997,2.49801,2.0357600000000002,1.72931,1.45111,1.1148099999999999,0.87959
travel,TIME_LIMIT_EXCEEDED,20,29.41%,1.220,33.78125,,10,10,0,0,0,0,0,0,0,0
aquarelle,RUNTIME_ERROR,0,51.82%,0.020,3.609375,,0,0,0,0,0,0,0,0,0,0
parentheses,ACCEPTED,100,100.00%,0.170,17.30859375,,0,5,10,10,15,15,45,0,0,0
tolls,ACCEPTED,100,100.00%,0.080,4.90625,,0,5,5,10,20,10,20,30,0,0
twins,RUNTIME_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
walk,ACCEPTED,100,100.00%,0.270,14.07421875,,0,10,7,29,27,7,14,6,0,0
xy,RUNTIME_ERROR,0,0.00%,0.030,2.58984375,,0,0,0,0,0,0,0,0,0,0
TOTAL,,345,35.57%,,,27.27%,,,,,,,,,,
