Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,boi,boi_rel,dev,dev_rel,exp,exp_rel,gcd,gcd_rel,tou,tou_rel,tow,tow_rel
gpt-5,209.00,,49.26%,16.67%,1.130,27.27,6,33.00,,0.00,,37.00,,17.00,,100.00,,22.00,
seed-oss_8192,132.00,,28.53%,16.67%,0.287,202.37,6,0.00,,0.00,,0.00,,100.00,,32.00,,0.00,
gpt-o3-mini-high,132.00,,30.26%,16.67%,0.943,25.08,6,0.00,,0.00,,0.00,,100.00,,32.00,,0.00,
gemini-2.5-pro,121.00,,34.64%,0.00%,1.453,148.28,6,11.00,,0.00,,37.00,,0.00,,51.00,,22.00,
gpt-oss-120b-high,100.00,,19.61%,16.67%,0.255,37.59,6,0.00,,0.00,,0.00,,0.00,,100.00,,0.00,
deepseek-reasoner,100.00,,24.36%,16.67%,0.540,37.02,6,0.00,,0.00,,0.00,,100.00,,0.00,,0.00,
gpt-oss-20b-high,93.00,,28.88%,0.00%,0.626,18.62,5,0.00,,N/A,,0.00,,17.00,,76.00,,0.00,
gemini-2.5-flash,87.00,,25.83%,0.00%,0.505,133.07,6,12.00,,0.00,,37.00,,0.00,,32.00,,6.00,
gpt-oss-20b-medium,83.00,,23.18%,0.00%,0.612,14.22,6,32.00,,0.00,,0.00,,0.00,,51.00,,0.00,
gpt-oss-120b-medium,72.00,12.00%,22.19%,0.00%,0.650,15.61,6,21.00,21.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,51.00,51.00%,0.00,0.00%
gpt-4.1,47.00,,20.95%,0.00%,1.072,42.92,6,0.00,,0.00,,14.00,,17.00,,9.00,,7.00,
gpt-oss-120b-low,32.00,,11.42%,0.00%,0.242,199.57,6,0.00,,0.00,,0.00,,0.00,,32.00,,0.00,
seed-oss_-1,21.00,,12.79%,0.00%,0.622,20.79,6,12.00,,0.00,,0.00,,0.00,,9.00,,0.00,
Qwen2.5-Coder-32B-Instruct,14.00,,8.25%,0.00%,0.760,57.67,6,0.00,,0.00,,14.00,,0.00,,0.00,,0.00,
Qwen3-4B,12.00,,6.31%,0.00%,0.045,7.28,6,12.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-30B,12.00,,7.74%,0.00%,0.680,27.14,6,12.00,,0.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_2048,11.00,,9.64%,0.00%,0.118,15.09,6,0.00,,0.00,,0.00,,11.00,,0.00,,0.00,
DeepSeek-R1-Distill-Qwen-7B,0.00,,0.00%,0.00%,0.000,0.00,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Llama-8B,0.00,,0.55%,0.00%,0.000,0.00,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Llama-4-Scout,0.00,,1.54%,0.00%,0.028,8.79,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
gpt-oss-20b-low,0.00,,3.45%,0.00%,0.032,0.61,5,0.00,,0.00,,N/A,,0.00,,0.00,,0.00,
Qwen2.5-Coder-14B-Instruct,0.00,,3.58%,0.00%,0.075,8.33,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_512,0.00,,2.01%,0.00%,0.093,14.31,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
deepseek-chat,0.00,,6.58%,0.00%,0.095,10.93,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_4096,0.00,,3.81%,0.00%,0.097,23.86,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-Coder-V2-Lite-Instruct,0.00,,1.82%,0.00%,0.103,53.67,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Llama-3.1-8B-Instruct,0.00,,1.64%,0.00%,0.105,12.18,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen2.5-72B,0.00,,1.82%,0.00%,0.108,14.57,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-14B-Non-Thinking,0.00,,1.54%,0.00%,0.142,19.99,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-14B,0.00,,4.54%,0.00%,0.165,32.11,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
QwQ-32B,0.00,,7.48%,0.00%,0.177,21.67,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Mistral-Small-3.1-24B-2503,0.00,,1.82%,0.00%,0.188,14.79,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_0,0.00,,1.96%,0.00%,0.233,10.40,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Codestral-22B-v0.1,0.00,,1.54%,0.00%,0.243,8.09,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_1024,0.00,,1.54%,0.00%,0.260,205.09,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
