problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
five,TIME_LIMIT_EXCEEDED,62,75.00%,0.850,20.3671875,,5,19,19,19,0,0,0,0,0,0
game,RUNTIME_ERROR,0,2.70%,0.110,4.66015625,,0,0,0,0,0,0,0,0,0,0
lexgcd,RUNTIME_ERROR,6,13.82%,0.120,17.39453125,,6,0,0,0,0,0,0,0,0,0
ones,WRONG_ANSWER,25,0.00%,0.140,1.94921875,,4.70929,4.06906,3.35974,2.8991499999999997,2.49801,2.0357600000000002,1.72931,1.45111,1.1148099999999999,0.87959
travel,RUNTIME_ERROR,0,2.38%,0.700,148.28125,,0,0,0,0,0,0,0,0,0,0
aquarelle,RUNTIME_ERROR,0,35.40%,0.030,1.8125,,0,0,0,0,0,0,0,0,0,0
parentheses,ACCEPTED,100,100.00%,0.100,7.390625,,0,5,10,10,15,15,45,0,0,0
tolls,ACCEPTED,100,100.00%,0.070,5.09765625,,0,5,5,10,20,10,20,30,0,0
twins,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
walk,ACCEPTED,100,100.00%,0.130,13.8671875,,0,10,7,29,27,7,14,6,0,0
xy,RUNTIME_ERROR,0,0.00%,0.030,11.609375,,0,0,0,0,0,0,0,0,0,0
TOTAL,,393,39.03%,,,27.27%,,,,,,,,,,
