problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
estimathon,ACCEPTED,50,100.00%,0.000,0,,11,39,0,0,0
dirigent,ACCEPTED,70,100.00%,0.150,3.6171875,,15,20,35,0,0
baltazar,TIME_LIMIT_EXCEEDED,15,62.50%,4.820,48.42578125,,15,0,0,0,0
bomboni,ACCEPTED,110,100.00%,0.220,3.3515625,,13,17,33,47,0
skrivaca,RUNTIME_ERROR,0,0.00%,0.120,15.48046875,,0,0,0,0,0
kalendar,ACCEPTED,50,100.00%,0.000,0,,7,19,24,0,0
diskurs,TIME_LIMIT_EXCEEDED,20,22.00%,2.230,4.65234375,,20,0,0,0,0
logaritam,ACCEPTED,110,100.00%,0.100,0.00390625,,19,26,29,36,0
slasticarnica,RUNTIME_ERROR,58,52.50%,0.440,408.64453125,,0,0,58,0,0
zastave,ACCEPTED,110,100.00%,0.190,2.07421875,,41,22,47,0,0
7krokods,RUNTIME_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
zrinka,RUNTIME_ERROR,35,40.00%,0.060,0,,15,20,0,0,0
bojanje,RUNTIME_ERROR,40,46.67%,0.000,0,,0,40,0,0,0
mreza,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
vrsta,TIME_LIMIT_EXCEEDED,81,80.00%,1.120,10.640625,,19,26,0,36,0
tramvaji,ACCEPTED,50,100.00%,0.060,0,,12,13,25,0,0
ekspert,RUNTIME_ERROR,0,25.00%,0.000,0,,0,0,0,0,0
lampice,RUNTIME_ERROR,0,0.00%,0.070,1.49609375,,0,0,0,0,0
prijateljice,ACCEPTED,110,100.00%,0.070,7.7421875,,20,30,60,0,0
kruhologija,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
desniklik,ACCEPTED,50,100.00%,0.000,0,,5,15,30,0,0
cokolade,ACCEPTED,70,100.00%,0.120,2.90625,,15,20,35,0,0
berilij,RUNTIME_ERROR,0,6.82%,0.210,12.70703125,,0,0,0,0,0
iksevi,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
neboderi,ACCEPTED,110,100.00%,0.740,5.1640625,,11,22,27,18,32
TOTAL,,1139,57.42%,,,44.00%,,,,,
