Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,bikesvscars,bikesvscars_rel,candy,candy_rel,carnival,carnival_rel,findthebox,findthebox_rel,guessinggame,guessinggame_rel,inflation,inflation_rel,ppp,ppp_rel,sopsug,sopsug_rel
grok-4-fast-reasoning,500.00,71.43%,75.30%,71.43%,0.071,12.72,7,100.00,100.00%,100.00,100.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,100.00,100.00%,N/A,N/A
Qwen3-30B,336.00,,44.22%,37.50%,0.237,118.92,8,0.00,,100.00,,100.00,,0.00,,0.00,,100.00,,36.00,,0.00,
gpt-oss-120b_sp4,300.00,37.50%,37.50%,37.50%,0.031,7.70,8,0.00,0.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,100.00,100.00%,0.00,0.00%
gpt-oss-120b_sp3,300.00,37.50%,37.50%,37.50%,0.033,6.31,8,0.00,0.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,100.00,100.00%,0.00,0.00%
gpt-oss-120b_sp2,300.00,37.50%,37.50%,37.50%,0.036,7.00,8,0.00,0.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,100.00,100.00%,0.00,0.00%
gpt-oss-20b-high,300.00,37.50%,37.50%,37.50%,0.066,5.69,8,0.00,0.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,100.00,100.00%,0.00,0.00%
gpt-5,300.00,37.50%,37.50%,37.50%,0.069,8.46,8,0.00,0.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,100.00,100.00%,0.00,0.00%
gpt-oss-120b-high,300.00,37.50%,37.50%,37.50%,0.071,6.04,8,0.00,0.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,100.00,100.00%,0.00,0.00%
claude-sonnet-4.5,236.00,33.71%,35.03%,28.57%,0.240,145.52,7,0.00,0.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,36.00,36.00%,N/A,N/A
gemini-2.5-pro,236.00,29.50%,34.03%,25.00%,0.129,61.17,8,0.00,0.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,36.00,36.00%,0.00,0.00%
