problem_id,model,solution_file,status,score,relative_score,tests_passed,execution_time,memory_usage
APIO-2023-contest-abc,Qwen3-32B-Non-Thinking,abc_Qwen3-32B-Non-Thinking_0.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
APIO-2023-contest-abc,Qwen3-32B-Non-Thinking,abc_Qwen3-32B-Non-Thinking_1.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
APIO-2023-contest-abc,Qwen3-32B-Non-Thinking,abc_Qwen3-32B-Non-Thinking_2.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
APIO-2023-contest-abc,Qwen3-32B-Non-Thinking,abc_Qwen3-32B-Non-Thinking_3.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.090,7.0
APIO-2023-contest-abc,Qwen3-32B-Non-Thinking,abc_Qwen3-32B-Non-Thinking_5.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
APIO-2023-contest-abc,Qwen3-32B-Non-Thinking,abc_Qwen3-32B-Non-Thinking_6.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
APIO-2023-contest-abc,Qwen3-32B-Non-Thinking,abc_Qwen3-32B-Non-Thinking_7.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.110,7.72265625
APIO-2023-contest-cyberland,Qwen3-32B-Non-Thinking,cyberland_Qwen3-32B-Non-Thinking_0.cpp,MEMORY_LIMIT_EXCEEDED,15,15.00%,20.73%,1.130,2437.10546875
APIO-2023-contest-cyberland,Qwen3-32B-Non-Thinking,cyberland_Qwen3-32B-Non-Thinking_1.cpp,MEMORY_LIMIT_EXCEEDED,97,97.00%,70.73%,1.200,2279.58203125
APIO-2023-contest-cyberland,Qwen3-32B-Non-Thinking,cyberland_Qwen3-32B-Non-Thinking_2.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,0.00%,2.930,2443.03515625
APIO-2023-contest-cyberland,Qwen3-32B-Non-Thinking,cyberland_Qwen3-32B-Non-Thinking_3.cpp,MEMORY_LIMIT_EXCEEDED,0,0.00%,2.44%,1.460,1963.50390625
APIO-2023-contest-cyberland,Qwen3-32B-Non-Thinking,cyberland_Qwen3-32B-Non-Thinking_4.cpp,MEMORY_LIMIT_EXCEEDED,20,20.00%,23.17%,1.030,2439.68359375
APIO-2023-contest-cyberland,Qwen3-32B-Non-Thinking,cyberland_Qwen3-32B-Non-Thinking_5.cpp,MEMORY_LIMIT_EXCEEDED,20,20.00%,23.17%,1.020,2453.86328125
APIO-2023-contest-cyberland,Qwen3-32B-Non-Thinking,cyberland_Qwen3-32B-Non-Thinking_6.cpp,MEMORY_LIMIT_EXCEEDED,15,15.00%,20.73%,1.450,2261.27734375
APIO-2023-contest-cyberland,Qwen3-32B-Non-Thinking,cyberland_Qwen3-32B-Non-Thinking_7.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,0.00%,2.950,2231.15625
APIO-2023-contest-sequence,Qwen3-32B-Non-Thinking,sequence_Qwen3-32B-Non-Thinking_0.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,7.06%,1.840,23.82421875
APIO-2023-contest-sequence,Qwen3-32B-Non-Thinking,sequence_Qwen3-32B-Non-Thinking_1.cpp,TIME_LIMIT_EXCEEDED,11,11.00%,44.92%,1.880,5.046875
APIO-2023-contest-sequence,Qwen3-32B-Non-Thinking,sequence_Qwen3-32B-Non-Thinking_2.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,22.11%,1.900,4.65625
APIO-2023-contest-sequence,Qwen3-32B-Non-Thinking,sequence_Qwen3-32B-Non-Thinking_3.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,0.00%,1.810,23.82421875
APIO-2023-contest-sequence,Qwen3-32B-Non-Thinking,sequence_Qwen3-32B-Non-Thinking_4.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,25.51%,1.880,8.50390625
APIO-2023-contest-sequence,Qwen3-32B-Non-Thinking,sequence_Qwen3-32B-Non-Thinking_5.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,7.06%,1.820,5.828125
APIO-2023-contest-sequence,Qwen3-32B-Non-Thinking,sequence_Qwen3-32B-Non-Thinking_6.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,7.06%,1.870,4.63671875
