Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count
gpt-5,51896.00,69.89%,75.14%,62.03%,0.451,30.89,424
gpt-oss-120b-high,49684.00,65.63%,70.65%,59.15%,0.402,44.14,426
grok-4-fast-reasoning,43417.00,65.10%,72.56%,52.71%,0.728,55.83,387
gpt-oss-20b-high,41301.00,61.83%,66.35%,56.38%,0.423,27.14,376
gemini-2.5-pro,40598.00,56.73%,65.09%,44.58%,0.824,80.12,424
gpt-oss-120b-medium,40506.00,54.06%,59.25%,47.18%,0.435,34.89,426
gpt-oss-120b_sp2,40172.00,53.43%,58.77%,46.95%,0.409,29.33,426
gpt-oss-120b_sp4,40109.00,53.35%,58.72%,45.65%,0.463,29.57,425
gpt-oss-120b_sp1,39787.00,52.87%,58.22%,45.41%,0.460,37.73,425
gpt-o3-mini-high,39517.00,53.27%,59.82%,44.13%,0.716,44.90,426
gpt-oss-120b_sp3,39187.00,52.47%,58.23%,45.41%,0.407,34.63,425
seed-oss_-1,36186.00,47.93%,55.64%,39.67%,0.673,57.95,426
gpt-oss-20b-medium,35696.00,49.61%,54.42%,43.75%,0.408,21.53,416
gemini-2.5-flash,34135.00,47.51%,56.23%,36.32%,0.996,75.67,424
claude-sonnet-4.5,30030.00,43.79%,57.03%,26.87%,1.524,104.08,402
gpt-oss-120b-low,29032.00,40.59%,46.28%,34.04%,0.451,31.89,426
deepseek-reasoner,27979.00,38.31%,46.22%,29.11%,0.633,23.18,426
seed-oss_8192,27500.00,,44.14%,29.88%,0.554,33.57,425
OpenCodeReasoning-Nemotron-32B-IOI,23794.00,33.05%,39.13%,25.85%,0.537,27.56,414
gpt-oss-20b-low,22571.00,33.06%,38.28%,27.55%,0.379,16.91,421
gpt-4.1,19850.00,29.81%,38.36%,19.81%,0.958,49.48,424
Qwen3-8B,19146.00,27.84%,35.07%,19.72%,0.689,36.81,426
DeepSeek-R1-Distill-Llama-70B,17722.00,25.29%,31.99%,18.40%,0.585,36.84,424
deepseek-chat,16750.00,25.30%,33.31%,17.18%,0.749,40.96,419
Qwen3-4B,14285.00,21.25%,28.49%,14.59%,0.673,49.52,425
OlympicCoder-7B,12754.00,20.70%,26.09%,15.57%,0.418,16.49,424
Qwen3-32B-Non-Thinking,8796.00,15.20%,21.12%,8.98%,0.603,46.77,423
Qwen3-30B-Non-Thinking,8712.00,13.27%,18.56%,7.33%,0.612,37.03,423
Llama-4-Scout,7143.00,12.11%,17.48%,6.82%,0.608,36.80,425
Qwen3-14B-Non-Thinking,6406.00,9.39%,14.24%,4.21%,0.599,44.54,404
Mistral-Large-Instruct-2411,6361.00,11.88%,18.61%,6.15%,0.775,44.37,423
Qwen2.5-Coder-14B-Instruct,5750.00,11.45%,16.88%,5.74%,0.594,43.51,418
Qwen3-8B-Non-Thinking,5486.00,10.16%,15.09%,4.35%,0.622,44.05,414
Qwen3-4B-Non-Thinking,4083.00,8.30%,12.27%,4.76%,0.498,37.48,420
Mistral-Small-3.1-24B-2503,3870.00,9.27%,13.60%,5.00%,0.515,18.17,420
Codestral-22B-v0.1,3024.00,7.86%,10.95%,4.52%,0.333,25.62,420
Qwen3-14B,3015.00,28.93%,38.27%,22.98%,0.673,39.26,161
DeepSeek-Coder-V2-Lite-Instruct,2855.00,6.59%,10.43%,2.38%,0.619,39.71,420
Qwen2.5-Coder-7B-Instruct,2770.00,5.81%,8.66%,2.89%,0.347,15.95,415
Qwen3-32B,1862.00,28.61%,43.64%,20.18%,0.990,27.54,114
DeepSeek-R1-Distill-Llama-8B,1649.00,3.56%,4.31%,2.63%,0.062,0.72,419
Llama-3.1-8B-Instruct,1598.00,4.89%,7.25%,2.62%,0.173,12.80,420
Qwen3-30B,1193.00,23.40%,35.87%,17.31%,0.753,21.17,104
QwQ-32B,1019.00,10.38%,21.59%,5.10%,0.395,23.31,98
DeepSeek-R1-Distill-Qwen-32B,795.00,8.12%,17.02%,3.03%,0.581,15.54,99
DeepSeek-R1-Distill-Qwen-14B,640.00,6.62%,12.36%,3.06%,0.327,17.92,98
Llama-3.3-70B-Instruct,427.00,11.85%,20.94%,7.69%,0.755,41.40,104
Qwen2.5-72B,403.00,13.11%,20.34%,9.71%,0.498,64.10,103
seed-oss_16384,378.00,,21.05%,21.05%,0.003,0.08,19
claude-haiku-4.5,340.00,20.00%,37.25%,0.00%,1.279,370.21,17
Qwen2.5-Coder-32B-Instruct,308.00,3.14%,12.29%,0.00%,0.545,46.19,98
OlympicCoder-32B,159.00,9.94%,21.22%,0.00%,0.493,190.98,16
seed-oss_0,30.00,,100.00%,100.00%,0.010,0.00,2
seed-oss_2048,30.00,,66.67%,66.67%,0.010,0.00,3
seed-oss_1024,30.00,,66.67%,66.67%,0.017,0.00,3
DeepSeek-R1-Distill-Qwen-7B,30.00,1.18%,1.30%,1.18%,0.002,0.00,170
seed-oss_512,15.00,,50.00%,50.00%,0.000,0.00,2
seed-oss_4096,15.00,,33.33%,33.33%,0.017,0.00,3
