solution,status,score,%test passed,time,memory
2025-ho-t4_Just_Long_Neckties_2_Qwen3-32B-Non-Thinking_5.cpp,COMPILATION_ERROR,0,0.00%,0.000,0
2025-ho-t4_Just_Long_Neckties_2_Qwen3-32B-Non-Thinking_5.cpp,COMPILATION_ERROR,0,0.00%,0.000,0
2025-ho-t4_Just_Long_Neckties_2_Qwen3-32B-Non-Thinking_7.cpp,COMPILATION_ERROR,0,0.00%,0.000,0
2025-ho-t4_Just_Long_Neckties_2_Qwen3-32B-Non-Thinking_7.cpp,COMPILATION_ERROR,0,0.00%,0.000,0
2025-ho-t4_Just_Long_Neckties_2_Qwen3-32B-Non-Thinking_7.cpp,COMPILATION_ERROR,0,0.00%,0.000,0
2025-ho-t4_Just_Long_Neckties_2_Qwen3-32B-Non-Thinking_7.cpp,COMPILATION_ERROR,0,0.00%,0.000,0
2025-ho-t4_Just_Long_Neckties_2_Qwen3-32B-Non-Thinking_7.cpp,COMPILATION_ERROR,0,0.00%,0.000,0
2025-ho-t4_Just_Long_Neckties_2_Qwen3-32B-Non-Thinking_7.cpp,COMPILATION_ERROR,0,0.00%,0.000,0
2025-ho-t4_Just_Long_Neckties_2_Qwen3-32B-Non-Thinking_7.cpp,COMPILATION_ERROR,0,0.00%,0.000,0
2025-ho-t4_Just_Long_Neckties_2_Qwen3-32B-Non-Thinking_7.cpp,COMPILATION_ERROR,0,0.00%,0.000,0
2025-ho-t4_Just_Long_Neckties_2_Qwen3-32B-Non-Thinking_7.cpp,COMPILATION_ERROR,0,0.00%,0.000,0
2025-ho-t4_Just_Long_Neckties_2_Qwen3-32B-Non-Thinking_7.cpp,COMPILATION_ERROR,0,0.00%,0.000,0
2025-ho-t4_Just_Long_Neckties_2_Qwen3-32B-Non-Thinking_7.cpp,COMPILATION_ERROR,0,0.00%,0.000,0
2025-ho-t4_Just_Long_Neckties_2_Qwen3-32B-Non-Thinking_7.cpp,COMPILATION_ERROR,0,0.00%,0.000,0
2025-ho-t4_Just_Long_Neckties_2_Qwen3-32B-Non-Thinking_7.cpp,COMPILATION_ERROR,0,0.00%,0.000,0
