competition_year,model,total_score,avg %passed,avg_time,avg_mem,pass_rate
ALL_COMPETITIONS,Qwen3-14B,21329,34.58%,0.70,44.07,16.67%
APIO-2023,Qwen3-14B,20,13.72%,0.24,22.90,0.00%
APIO-2024,Qwen3-14B,19,10.12%,0.50,6.13,0.00%
BOI-2023,Qwen3-14B,24,47.70%,0.05,5.36,0.00%
BOI-2024,Qwen3-14B,22,26.36%,1.32,7.93,0.00%
BOI-2025,Qwen3-14B,0,4.54%,0.15,32.11,0.00%
CCO-2023,Qwen3-14B,132,55.35%,0.62,8.17,37.50%
CCO-2024,Qwen3-14B,119,48.18%,0.86,26.80,43.75%
CEOI-2023,Qwen3-14B,0,0.98%,0.06,3.34,0.00%
CEOI-2024,Qwen3-14B,6,20.74%,0.51,37.28,0.00%
COCI-2023,Qwen3-14B,1135,56.05%,0.43,7.67,48.00%
COCI-2024,Qwen3-14B,1141,59.09%,0.45,13.31,52.00%
COCI-2025,Qwen3-14B,442,48.30%,0.52,7.05,42.86%
EGOI-2023,Qwen3-14B,200,29.54%,0.23,121.34,25.00%
EGOI-2024,Qwen3-14B,57,29.78%,0.36,77.26,0.00%
EJOI-2023,Qwen3-14B,79,14.88%,0.77,35.72,0.00%
EJOI-2024,Qwen3-14B,160,38.04%,0.70,31.15,16.67%
IATI-2024,Qwen3-14B,299,32.06%,0.21,55.42,18.18%
IOI-2023,Qwen3-14B,23,12.72%,0.06,11.34,0.00%
IOI-2024,Qwen3-14B,102,32.42%,0.99,411.24,0.00%
JOI-2023,Qwen3-14B,381,39.41%,0.96,56.48,10.00%
JOI-2024,Qwen3-14B,53,17.40%,0.39,19.72,0.00%
JOI-2025,Qwen3-14B,103,27.59%,1.06,14.46,20.00%
NOINordic-2023,Qwen3-14B,217,80.69%,0.61,193.39,66.67%
NOINordic-2024,Qwen3-14B,62,53.71%,0.90,4.51,0.00%
NOINordic-2025,Qwen3-14B,125,57.45%,3.75,12.38,33.33%
OOI-2023,Qwen3-14B,657,49.37%,0.37,34.16,23.53%
OOI-2024,Qwen3-14B,733,56.00%,1.39,18.49,29.41%
RMI-2023,Qwen3-14B,14,10.40%,0.92,13.53,0.00%
RMI-2024,Qwen3-14B,68,24.42%,0.61,57.94,0.00%
USACO-2023,Qwen3-14B,6409,43.77%,1.16,28.20,27.08%
USACO-2024,Qwen3-14B,5792,39.79%,0.82,29.83,22.92%
USACO-2025,Qwen3-14B,2735,25.95%,0.47,5.53,16.67%
