problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
five,RUNTIME_ERROR,5,16.36%,0.230,13.4140625,,5,0,0,0,0,0,0,0,0,0
game,RUNTIME_ERROR,0,0.00%,0.180,6.15234375,,0,0,0,0,0,0,0,0,0,0
lexgcd,TIME_LIMIT_EXCEEDED,6,4.13%,1.840,611.28125,,6,0,0,0,0,0,0,0,0,0
ones,WRONG_ANSWER,25,0.00%,0.190,1.95703125,,4.70929,4.06906,3.35974,2.8991499999999997,2.49801,2.0357600000000002,1.72931,1.45111,1.1148099999999999,0.87959
travel,TIME_LIMIT_EXCEEDED,20,29.41%,1.390,333.36328125,,10,10,0,0,0,0,0,0,0,0
aquarelle,RUNTIME_ERROR,0,21.65%,0.120,0,,0,0,0,0,0,0,0,0,0,0
parentheses,TIME_LIMIT_EXCEEDED,40,91.83%,0.380,3.3984375,,0,5,10,10,15,0,0,0,0,0
tolls,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
twins,RUNTIME_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
walk,RUNTIME_ERROR,0,0.00%,0.130,1.7578125,,0,0,0,0,0,0,0,0,0,0
xy,RUNTIME_ERROR,0,0.00%,0.130,2.07421875,,0,0,0,0,0,0,0,0,0,0
TOTAL,,96,14.85%,,,0.00%,,,,,,,,,,
