problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
five,TIME_LIMIT_EXCEEDED,43,51.79%,0.840,97.45703125,,5,0,19,19,0,0,0,0,0,0
game,RUNTIME_ERROR,0,0.00%,0.050,8.60546875,,0,0,0,0,0,0,0,0,0,0
lexgcd,RUNTIME_ERROR,0,7.38%,0.030,2.07421875,,0,0,0,0,0,0,0,0,0,0
ones,WRONG_ANSWER,29,0.00%,0.110,2.07421875,,2.5802799999999997,2.5615300000000003,2.6297900000000003,2.67411,2.72949,2.81882,2.93263,3.0942999999999996,3.40576,3.75162
travel,TIME_LIMIT_EXCEEDED,20,29.41%,1.210,41.51953125,,10,10,0,0,0,0,0,0,0,0
aquarelle,TIME_LIMIT_EXCEEDED,89,95.78%,0.440,42.05078125,,0,11,18,24,36,0,0,0,0,0
parentheses,ACCEPTED,100,100.00%,0.110,60.50390625,,0,5,10,10,15,15,45,0,0,0
tolls,ACCEPTED,100,100.00%,0.090,5.4296875,,0,5,5,10,20,10,20,30,0,0
twins,RUNTIME_ERROR,40,45.88%,0.030,7.76171875,,40,0,0,0,0,0,0,0,0,0
walk,RUNTIME_ERROR,0,0.00%,0.020,0,,0,0,0,0,0,0,0,0,0,0
xy,RUNTIME_ERROR,0,2.86%,0.040,4.13671875,,0,0,0,0,0,0,0,0,0,0
TOTAL,,421,39.37%,,,18.18%,,,,,,,,,,
