Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,AA_Tree,AA_Tree_rel,Circles,Circles_rel,Heroes,Heroes_rel,Pinball,Pinball_rel,Statues,Statues_rel,To_be_xor_not_to_be,To_be_xor_not_to_be_rel
gpt-5,517.00,,92.40%,66.67%,0.510,55.48,6,100.00,,100.00,,100.00,,40.00,,100.00,,77.00,
gpt-oss-120b-high,459.00,,86.13%,66.67%,0.357,34.05,6,53.00,,100.00,,100.00,,100.00,,100.00,,6.00,
gpt-oss-20b-high,304.00,,74.86%,40.00%,0.866,15.81,5,53.00,,100.00,,N/A,,51.00,,100.00,,0.00,
gemini-2.5-pro,250.00,,58.89%,16.67%,0.683,54.17,6,0.00,,100.00,,0.00,,40.00,,74.00,,36.00,
gpt-oss-120b-medium,240.00,40.00%,52.39%,33.33%,0.275,49.02,6,0.00,0.00%,100.00,100.00%,0.00,0.00%,40.00,40.00%,100.00,100.00%,0.00,0.00%
gpt-o3-mini-high,240.00,,52.67%,33.33%,0.288,37.21,6,0.00,,100.00,,0.00,,40.00,,100.00,,0.00,
gemini-2.5-flash,214.00,,56.79%,16.67%,0.885,98.34,6,53.00,,100.00,,0.00,,9.00,,46.00,,6.00,
gpt-oss-20b-medium,175.00,,46.02%,16.67%,0.682,18.46,6,0.00,,100.00,,0.00,,51.00,,24.00,,0.00,
seed-oss_-1,161.00,,40.95%,16.67%,1.008,54.44,6,0.00,,4.00,,0.00,,51.00,,100.00,,6.00,
gpt-oss-120b-low,159.00,,43.57%,16.67%,0.887,31.46,6,0.00,,100.00,,0.00,,13.00,,46.00,,0.00,
seed-oss_16384,113.00,,46.12%,0.00%,0.602,91.93,6,0.00,,14.00,,7.00,,40.00,,46.00,,6.00,
Qwen3-32B,85.00,,39.73%,0.00%,1.027,16.15,6,0.00,,18.00,,0.00,,51.00,,10.00,,6.00,
seed-oss_8192,76.00,,29.43%,0.00%,0.677,76.17,6,53.00,,4.00,,0.00,,9.00,,10.00,,0.00,
deepseek-reasoner,68.00,,32.08%,0.00%,0.845,15.02,6,0.00,,18.00,,0.00,,40.00,,10.00,,0.00,
gpt-oss-20b-low,64.00,,21.78%,0.00%,0.230,36.34,6,0.00,,0.00,,0.00,,40.00,,24.00,,0.00,
deepseek-chat,22.00,,15.93%,0.00%,0.230,30.19,6,0.00,,4.00,,0.00,,9.00,,0.00,,9.00,
gpt-4.1,9.00,,7.09%,0.00%,0.017,0.27,6,0.00,,0.00,,0.00,,0.00,,0.00,,9.00,
DeepSeek-R1-Distill-Qwen-32B,9.00,,5.78%,0.00%,0.145,33.07,6,0.00,,0.00,,0.00,,9.00,,0.00,,0.00,
seed-oss_0,6.00,,8.33%,0.00%,0.122,24.98,6,0.00,,0.00,,0.00,,0.00,,0.00,,6.00,
QwQ-32B,6.00,,4.40%,0.00%,0.625,1.51,6,0.00,,0.00,,0.00,,0.00,,0.00,,6.00,
Qwen3-8B,4.00,,11.33%,0.00%,0.667,4.10,6,0.00,,4.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-4B,4.00,,8.24%,0.00%,0.685,3.09,6,0.00,,4.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-30B,0.00,,0.79%,0.00%,0.000,0.00,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Qwen-14B,0.00,,0.00%,0.00%,0.000,0.00,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Llama-3.1-8B-Instruct,0.00,,0.00%,0.00%,0.000,0.00,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-14B,0.00,,0.79%,0.00%,0.000,0.00,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen2.5-Coder-7B-Instruct,0.00,,0.00%,0.00%,0.000,0.00,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen2.5-Coder-14B-Instruct,0.00,,0.00%,0.00%,0.000,0.00,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Llama-8B,0.00,,0.00%,0.00%,0.000,0.00,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-8B-Non-Thinking,0.00,,0.00%,0.00%,0.000,0.00,1,N/A,,N/A,,N/A,,0.00,,N/A,,N/A,
Codestral-22B-v0.1,0.00,,0.00%,0.00%,0.000,0.00,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Mistral-Large-Instruct-2411,0.00,,0.00%,0.00%,0.000,0.00,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-14B-Non-Thinking,0.00,0.00%,0.00%,0.00%,0.000,0.00,1,0.00,0.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Qwen3-4B-Non-Thinking,0.00,,0.00%,0.00%,0.000,0.00,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Llama-70B,0.00,,0.00%,0.00%,0.000,0.00,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Qwen-7B,0.00,,0.00%,0.00%,0.000,0.00,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_1024,0.00,,3.17%,0.00%,0.000,0.00,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Llama-4-Scout,0.00,,0.00%,0.00%,0.000,0.00,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Mistral-Small-3.1-24B-2503,0.00,,2.33%,0.00%,0.015,0.00,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Llama-3.3-70B-Instruct,0.00,,0.79%,0.00%,0.017,0.00,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_512,0.00,,1.33%,0.00%,0.062,34.68,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-32B-Non-Thinking,0.00,,9.79%,0.00%,0.082,8.17,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_2048,0.00,,2.86%,0.00%,0.088,36.01,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
seed-oss_4096,0.00,,6.73%,0.00%,0.117,38.76,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen2.5-72B,0.00,,3.03%,0.00%,0.300,5.97,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen3-30B-Non-Thinking,0.00,,3.82%,0.00%,0.300,3.10,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
DeepSeek-Coder-V2-Lite-Instruct,0.00,,1.33%,0.00%,0.302,7.82,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
Qwen2.5-Coder-32B-Instruct,0.00,,3.03%,0.00%,0.302,11.73,6,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
