solution,status,score,relative_score,%test passed,time,memory,subtask_0,subtask_1,subtask_10,subtask_11,subtask_12,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
silver_Cowlendar_gpt-oss-120b_0.cpp,ACCEPTED,333,102.78%,100.00%,0.240,1.8125,0,27.777777777777775,27.777777777777775,27.777777777777775,27.777777777777775,27.777777777777775,27.777777777777775,27.777777777777775,27.777777777777775,27.777777777777775,27.777777777777775,27.777777777777775,27.777777777777775
silver_Cowlendar_gpt-oss-120b_1.cpp,RUNTIME_ERROR,222,68.52%,57.14%,0.270,1.5546875,0,0,0,27.777777777777775,27.777777777777775,27.777777777777775,27.777777777777775,27.777777777777775,27.777777777777775,0,27.777777777777775,0,27.777777777777775
silver_Cowlendar_gpt-oss-120b_2.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
silver_Cowlendar_gpt-oss-120b_2.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
silver_Cowlendar_gpt-oss-120b_2.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
silver_Cowlendar_gpt-oss-120b_2.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
silver_Cowlendar_gpt-oss-120b_3.cpp,ACCEPTED,333,102.78%,100.00%,0.190,1.5546875,0,27.777777777777775,27.777777777777775,27.777777777777775,27.777777777777775,27.777777777777775,27.777777777777775,27.777777777777775,27.777777777777775,27.777777777777775,27.777777777777775,27.777777777777775,27.777777777777775
silver_Cowlendar_gpt-oss-120b_4.cpp,RUNTIME_ERROR,194,59.88%,50.00%,0.340,8.734375,0,0,0,27.777777777777775,27.777777777777775,27.777777777777775,0,27.777777777777775,27.777777777777775,0,27.777777777777775,0,27.777777777777775
silver_Cowlendar_gpt-oss-120b_5.cpp,WRONG_ANSWER,278,85.80%,85.71%,0.250,2.328125,0,27.777777777777775,27.777777777777775,27.777777777777775,0,27.777777777777775,27.777777777777775,27.777777777777775,27.777777777777775,27.777777777777775,0,27.777777777777775,27.777777777777775
silver_Cowlendar_gpt-oss-120b_6.cpp,RUNTIME_ERROR,194,59.88%,50.00%,2.340,9.546875,0,0,0,27.777777777777775,27.777777777777775,27.777777777777775,0,27.777777777777775,27.777777777777775,0,27.777777777777775,0,27.777777777777775
silver_Cowlendar_gpt-oss-120b_7.cpp,ACCEPTED,333,102.78%,100.00%,0.450,7.22265625,0,27.777777777777775,27.777777777777775,27.777777777777775,27.777777777777775,27.777777777777775,27.777777777777775,27.777777777777775,27.777777777777775,27.777777777777775,27.777777777777775,27.777777777777775,27.777777777777775
