problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
five,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
game,TIME_LIMIT_EXCEEDED,0,2.70%,1.810,7.49609375,,0,0,0,0,0,0,0,0,0,0
lexgcd,RUNTIME_ERROR,0,7.38%,0.140,2.0703125,,0,0,0,0,0,0,0,0,0,0
ones,WRONG_ANSWER,25,0.00%,0.190,1.953125,,4.70929,4.06906,3.35974,2.8991499999999997,2.49801,2.0357600000000002,1.72931,1.45111,1.1148099999999999,0.87959
travel,TIME_LIMIT_EXCEEDED,20,29.41%,1.230,33.78515625,,10,10,0,0,0,0,0,0,0,0
aquarelle,TIME_LIMIT_EXCEEDED,11,54.29%,0.510,0.00390625,,0,11,0,0,0,0,0,0,0,0
parentheses,ACCEPTED,100,100.00%,0.210,34.078125,,0,5,10,10,15,15,45,0,0,0
tolls,ACCEPTED,100,100.00%,0.200,6.96484375,,0,5,5,10,20,10,20,30,0,0
twins,RUNTIME_ERROR,40,35.88%,0.130,2.9140625,,40,0,0,0,0,0,0,0,0,0
walk,RUNTIME_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
xy,RUNTIME_ERROR,0,2.86%,0.140,2.5859375,,0,0,0,0,0,0,0,0,0,0
TOTAL,,296,30.23%,,,18.18%,,,,,,,,,,
