competition_year,ACCEPTED,WRONG_ANSWER,TIME_LIMIT_EXCEEDED,MEMORY_LIMIT_EXCEEDED,COMPILATION_ERROR,RUNTIME_ERROR,UNKNOWN,empty solutions
ALL_COMPETITIONS,1065,1491,7906,1565,6455,11124,1491,119
APIO-2023,0,0,0,0,0,0,0,0
APIO-2024,0,0,5,1,10,8,0,0
BOI-2023,0,0,3,0,13,32,0,0
BOI-2024,0,0,13,4,6,25,0,0
BOI-2025,0,0,7,0,7,29,5,0
CCO-2023,24,0,26,1,18,54,5,0
CCO-2024,45,0,15,2,22,43,0,1
CEOI-2023,0,0,9,1,21,15,2,0
CEOI-2024,0,0,8,2,13,25,0,0
COCI-2023,10,0,55,9,39,83,4,0
COCI-2024,16,3,50,12,32,87,0,0
COCI-2025,9,0,49,9,36,83,14,0
EGOI-2023,0,0,11,1,4,34,14,0
EGOI-2024,0,0,4,0,9,42,9,0
EJOI-2023,0,0,22,0,16,8,2,0
EJOI-2024,0,0,9,3,15,21,0,0
IATI-2024,0,8,21,1,14,36,8,0
IOI-2023,0,0,5,2,14,26,0,1
IOI-2024,0,0,15,0,8,25,0,0
JOI-2023,0,0,25,3,45,82,4,1
JOI-2024,0,0,21,11,50,77,1,0
JOI-2025,0,0,9,10,7,12,0,2
NOINordic-2023,0,0,1,1,2,18,2,0
NOINordic-2024,0,0,5,3,1,14,1,0
NOINordic-2025,0,0,7,1,4,12,0,0
OOI-2023,3,0,28,14,1,54,35,1
OOI-2024,3,0,40,6,0,45,42,0
RMI-2023,0,0,0,0,40,2,6,0
RMI-2024,2,0,10,4,5,23,3,1
USACO-2023,6,55,130,22,75,96,0,0
USACO-2024,0,57,143,31,77,76,0,0
USACO-2025,0,27,99,15,94,53,0,0
