Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,bronze_Farmer_Johns_Favorite_Permutation,bronze_Farmer_Johns_Favorite_Permutation_rel,bronze_Logical_Moos,bronze_Logical_Moos_rel,bronze_Walking_Along_a_Fence,bronze_Walking_Along_a_Fence_rel,gold_Cowreography,gold_Cowreography_rel,gold_Grass_Segments,gold_Grass_Segments_rel,gold_Smaller_Averages,gold_Smaller_Averages_rel,platinum_Activating_Robots,platinum_Activating_Robots_rel,platinum_Identity_Theft,platinum_Identity_Theft_rel,platinum_Splitting_Haybales,platinum_Splitting_Haybales_rel,silver_Bessies_Interview,silver_Bessies_Interview_rel,silver_Painting_Fence_Posts,silver_Painting_Fence_Posts_rel,silver_The_Winning_Gene,silver_The_Winning_Gene_rel
gpt-5,3214.00,82.94%,83.30%,75.00%,0.485,15.62,12,333.00,100.91%,333.00,106.73%,333.00,100.91%,333.00,104.06%,333.00,103.10%,333.00,104.06%,133.00,41.56%,67.00,20.94%,17.00,5.31%,333.00,104.06%,333.00,102.78%,333.00,100.91%
gpt-oss-120b-high,3048.00,78.73%,77.79%,66.67%,0.545,47.91,12,333.00,100.91%,333.00,106.73%,333.00,100.91%,333.00,104.06%,333.00,103.10%,333.00,104.06%,317.00,99.06%,50.00,15.62%,17.00,5.31%,333.00,104.06%,0.00,0.00%,333.00,100.91%
gpt-o3-mini-high,2669.00,68.88%,70.74%,50.00%,0.833,54.96,12,167.00,50.61%,333.00,106.73%,333.00,100.91%,333.00,104.06%,333.00,103.10%,271.00,84.69%,133.00,41.56%,67.00,20.94%,0.00,0.00%,33.00,10.31%,333.00,102.78%,333.00,100.91%
grok-4-fast-reasoning,2387.00,67.68%,68.22%,36.36%,1.079,50.02,11,0.00,0.00%,333.00,106.73%,N/A,N/A,200.00,62.50%,333.00,103.10%,271.00,84.69%,317.00,99.06%,200.00,62.50%,67.00,20.94%,333.00,104.06%,0.00,0.00%,333.00,100.91%
gpt-oss-120b_sp1,2371.00,61.31%,63.24%,33.33%,0.804,49.02,12,0.00,0.00%,333.00,106.73%,333.00,100.91%,100.00,31.25%,118.00,36.53%,271.00,84.69%,267.00,83.44%,33.00,10.31%,0.00,0.00%,250.00,78.12%,333.00,102.78%,333.00,100.91%
gpt-oss-20b-high,2352.00,66.00%,66.65%,54.55%,0.667,12.10,11,333.00,100.91%,333.00,106.73%,333.00,100.91%,N/A,N/A,333.00,103.10%,271.00,84.69%,33.00,10.31%,0.00,0.00%,17.00,5.31%,33.00,10.31%,333.00,102.78%,333.00,100.91%
gpt-oss-120b_sp4,2319.00,59.90%,60.96%,41.67%,0.596,17.33,12,0.00,0.00%,333.00,106.73%,333.00,100.91%,100.00,31.25%,333.00,103.10%,271.00,84.69%,200.00,62.50%,33.00,10.31%,17.00,5.31%,33.00,10.31%,333.00,102.78%,333.00,100.91%
gpt-oss-120b_sp3,2309.00,59.65%,60.90%,33.33%,0.527,44.48,12,0.00,0.00%,333.00,106.73%,333.00,100.91%,117.00,36.56%,333.00,103.10%,271.00,84.69%,117.00,36.56%,33.00,10.31%,0.00,0.00%,133.00,41.56%,306.00,94.44%,333.00,100.91%
gemini-2.5-pro,2203.00,56.99%,59.85%,41.67%,0.662,38.12,12,0.00,0.00%,333.00,106.73%,333.00,100.91%,100.00,31.25%,333.00,103.10%,271.00,84.69%,133.00,41.56%,17.00,5.31%,17.00,5.31%,333.00,104.06%,0.00,0.00%,333.00,100.91%
gpt-oss-120b-medium,2185.00,56.49%,58.28%,41.67%,0.603,28.04,12,0.00,0.00%,333.00,106.73%,333.00,100.91%,100.00,31.25%,333.00,103.10%,271.00,84.69%,33.00,10.31%,33.00,10.31%,0.00,0.00%,333.00,104.06%,83.00,25.62%,333.00,100.91%
