problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6
s1,ACCEPTED,15,100.00%,0.090,3.3046875,,2,1,2,5,5,0,0
s2,ACCEPTED,15,100.00%,0.010,0.00390625,,5,5,2,3,0,0,0
s3,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0
s4,ACCEPTED,15,100.00%,0.170,18.3125,,2,3,3,7,0,0,0
s5,RUNTIME_ERROR,0,15.04%,0.070,31.4609375,,0,0,0,0,0,0,0
d1p1,ACCEPTED,25,100.00%,0.740,68.92578125,,5,5,7,8,0,0,0
d1p2,ACCEPTED,25,100.00%,0.210,49.15234375,,3,4,5,6,7,0,0
d1p3,RUNTIME_ERROR,5,14.53%,0.200,71.81640625,,1,4,0,0,0,0,0
d2p1,RUNTIME_ERROR,0,0.00%,0.010,0.00390625,,0,0,0,0,0,0,0
d2p2,ACCEPTED,25,100.00%,0.440,49.08984375,,3,4,5,6,7,0,0
d2p3,RUNTIME_ERROR,7,30.46%,0.380,71.52734375,,3,0,4,0,0,0,0
j1,ACCEPTED,15,100.00%,0.000,0,,15,0,0,0,0,0,0
j2,ACCEPTED,15,100.00%,0.010,0.00390625,,15,0,0,0,0,0,0
j3,ACCEPTED,15,100.00%,0.020,0.00390625,,6,7,2,0,0,0,0
j4,ACCEPTED,15,100.00%,0.010,2.625,,3,3,5,4,0,0,0
j5,ACCEPTED,15,100.00%,0.010,1.5546875,,1,4,5,5,0,0,0
TOTAL,,207,72.50%,,,68.75%,,,,,,,
