problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
estimathon,ACCEPTED,50,100.00%,100.00%,0.000,0,,11,39,0,0,0
dirigent,ACCEPTED,70,100.00%,100.00%,0.050,4.91015625,,15,20,35,0,0
baltazar,ACCEPTED,110,100.00%,100.00%,0.390,72.046875,,15,30,65,0,0
bomboni,ACCEPTED,110,100.00%,100.00%,0.110,3.6171875,,13,17,33,47,0
skrivaca,RUNTIME_ERROR,70,63.64%,74.47%,0.690,72.5,,15,25,30,0,0
kalendar,ACCEPTED,50,100.00%,100.00%,0.000,0,,7,19,24,0,0
diskurs,ACCEPTED,70,100.00%,100.00%,0.150,12.90234375,,20,25,25,0,0
logaritam,ACCEPTED,110,100.00%,100.00%,0.010,0.00390625,,19,26,29,36,0
slasticarnica,ACCEPTED,110,100.00%,100.00%,0.140,1.55859375,,21,31,58,0,0
zastave,ACCEPTED,110,100.00%,100.00%,0.050,2.07421875,,41,22,47,0,0
7krokods,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
zrinka,ACCEPTED,70,100.00%,100.00%,0.110,1.55859375,,15,20,15,20,0
bojanje,ACCEPTED,110,100.00%,100.00%,0.010,0.00390625,,30,40,40,0,0
mreza,ACCEPTED,110,100.00%,100.00%,0.720,54.62890625,,21,29,60,0,0
vrsta,ACCEPTED,110,100.00%,100.00%,0.090,7.484375,,19,26,29,36,0
tramvaji,ACCEPTED,50,100.00%,100.00%,0.010,0,,12,13,25,0,0
ekspert,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
lampice,RUNTIME_ERROR,0,0.00%,2.38%,0.030,3.2109375,,0,0,0,0,0
prijateljice,ACCEPTED,110,100.00%,100.00%,0.010,7.484375,,20,30,60,0,0
kruhologija,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
desniklik,ACCEPTED,50,100.00%,100.00%,0.010,0,,5,15,30,0,0
cokolade,ACCEPTED,70,100.00%,100.00%,0.070,2.84375,,15,20,35,0,0
berilij,RUNTIME_ERROR,0,0.00%,4.55%,0.110,12.8984375,,0,0,0,0,0
iksevi,ACCEPTED,110,100.00%,100.00%,0.310,43.53125,,15,55,40,0,0
neboderi,ACCEPTED,110,100.00%,100.00%,0.150,12.90234375,,11,22,27,18,32
TOTAL,,1760,,79.26%,,,76.00%,,,,,
