problem,model,status,score,relative_score,%test passed,time,memory
2023-sp_Two_Currencies,gpt-4.1,TIME_LIMIT_EXCEEDED,10,10.00%,62.16%,4.810,32.671875
2023-sp_Festivals_in_JOI_Kingdom_2,gpt-4.1,RUNTIME_ERROR,0,0.00%,40.00%,0.140,0
2023-sp_Passport,gpt-4.1,RUNTIME_ERROR,6,6.00%,43.28%,0.170,4.3984375
2023-sp_Belt_Conveyor,gpt-4.1,RUNTIME_ERROR,1,1.00%,12.90%,0.210,13.125
2023-sp_Council,gpt-4.1,TIME_LIMIT_EXCEEDED,41,41.00%,87.60%,3.610,125.82421875
2023-sp_Mizuyokan_2,gpt-4.1,RUNTIME_ERROR,0,0.00%,0.00%,0.170,2.33203125
2023-sp_Chorus,gpt-4.1,RUNTIME_ERROR,0,0.00%,42.06%,0.000,0
2023-sp_Cookies,gpt-4.1,RUNTIME_ERROR,13,13.00%,70.88%,0.160,1.8046875
2023-sp_Tourism,gpt-4.1,TIME_LIMIT_EXCEEDED,5,5.00%,44.56%,4.830,26.66796875
2023-sp_Super_Dango_Maker,gpt-4.1,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2023-sp_Security_Guard,gpt-4.1,RUNTIME_ERROR,0,0.00%,5.95%,0.180,2.07421875
