problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_10,subtask_11,subtask_12,subtask_13,subtask_14,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
Dreaming_is_not_harmful,TIME_LIMIT_EXCEEDED,0,0.00%,5.61%,2.410,87.640625,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cute_Subsequences,RUNTIME_ERROR,17,17.00%,41.90%,0.160,16.64453125,,0.0,0,0,0,0,0,0,0,17.0,0,0,0,0,0,0
The_arithmetic_exercise,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alice_Bob_and_two_arrays,ACCEPTED,100,100.00%,100.00%,0.400,16.76171875,,0.0,13.0,10.0,7.0,0,0,0,12.0,11.0,8.0,10.0,7.0,6.0,7.0,9.0
Card_Flip,RUNTIME_ERROR,0,0.00%,12.50%,0.450,101.1328125,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Order_Statistics,RUNTIME_ERROR,0,0.00%,1.22%,0.130,9.02734375,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Best_Runner,RUNTIME_ERROR,11,11.00%,4.67%,0.140,9.29296875,,0,0,0,0,0,0,0,0,0,0,11.0,0,0,0,0
Strong_Connectivity_Strikes_Back,ACCEPTED,100,100.00%,100.00%,0.110,1.921875,,0.0,11.0,0,0,0,0,0,9.0,12.0,13.0,20.0,21.0,14.0,0,0
Colorful_Diameter,TIME_LIMIT_EXCEEDED,29,29.00%,73.48%,8.410,21.40625,,0.0,10.0,0,0,0,0,0,8.0,11.0,0,0,0,0,0,0
Road_Lighting,TIME_LIMIT_EXCEEDED,24,24.00%,63.16%,2.420,25.8515625,,0.0,14.0,0,0,0,0,0,0,10.0,0,0,0,0,0,0
Repainting_the_Table,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Distinctive_Features,TIME_LIMIT_EXCEEDED,30,30.00%,55.64%,3.620,41.61328125,,0.0,10.0,0,0,0,0,0,7.0,13.0,0,0,0,0,0,0
Classic_Tree_Problem,MEMORY_LIMIT_EXCEEDED,0,0.00%,0.00%,0.110,0.00390625,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alien_Homophones,ACCEPTED,100,100.00%,100.00%,0.300,178.0390625,,0.0,8.0,11.0,0,0,0,0,7.0,9.0,15.0,8.0,6.0,7.0,10.0,19.0
Stone_Enthusiast,RUNTIME_ERROR,0,0.00%,6.67%,0.130,2.68359375,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egors_Gaming_Addiction,RUNTIME_ERROR,0,0.00%,0.88%,0.130,4.38671875,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ultrafast_train,TIME_LIMIT_EXCEEDED,17,17.00%,67.38%,1.200,16.72265625,,0.0,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,,428,,37.24%,,,17.65%,,,,,,,,,,,,,,,
