problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5
autobus,RUNTIME_ERROR,0,0.00%,16.33%,0.060,0.00390625,,0,0,0,0,0,0
karte,TIME_LIMIT_EXCEEDED,11,15.71%,37.31%,1.210,0.00390625,,0,11,0,0,0,0
bojanje,RUNTIME_ERROR,0,0.00%,4.35%,0.060,0.00390625,,0,0,0,0,0,0
stablo,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
procesor,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
wow,RUNTIME_ERROR,0,0.00%,5.56%,0.000,0,,0,0,0,0,0,0
zid,TIME_LIMIT_EXCEEDED,38,54.29%,66.67%,1.220,2.58984375,,17,21,0,0,0,0
tornjevi,TIME_LIMIT_EXCEEDED,61,67.78%,79.63%,2.430,16.57421875,,7,11,17,0,26,0
crtez,RUNTIME_ERROR,0,0.00%,0.00%,0.140,0.00390625,,0,0,0,0,0,0
stablo,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
sah,RUNTIME_ERROR,32,64.00%,63.24%,0.090,1.84765625,,13,19,0,0,0,0
benzinska,ACCEPTED,70,100.00%,100.00%,0.690,5.4296875,,15,30,25,0,0,0
xor,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
cipele,RUNTIME_ERROR,0,0.00%,0.00%,0.280,31.4296875,,0,0,0,0,0,0
tura,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
paradoks,RUNTIME_ERROR,0,0.00%,5.13%,0.050,0,,0,0,0,0,0,0
igre,TIME_LIMIT_EXCEEDED,19,27.14%,51.02%,2.440,192.33984375,,6,13,0,0,0,0
razlicitost,TIME_LIMIT_EXCEEDED,22,24.44%,37.21%,2.410,5.42578125,,0,13,9,0,0,0
blistavost,RUNTIME_ERROR,0,0.00%,8.20%,0.060,1.5546875,,0,0,0,0,0,0
trokuti,RUNTIME_ERROR,13,10.83%,25.96%,0.090,13.92578125,,13,0,0,0,0,0
osobna,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
skokovi,RUNTIME_ERROR,20,28.57%,47.92%,0.100,2.84765625,,20,0,0,0,0,0
hijerarhija,TIME_LIMIT_EXCEEDED,22,24.44%,41.67%,3.610,18.82421875,,7,0,0,15,0,0
uciteljica,TIME_LIMIT_EXCEEDED,0,0.00%,3.28%,5.900,1.5546875,,0,0,0,0,0,0
zbunjenost,RUNTIME_ERROR,15,12.50%,33.87%,0.110,13.90234375,,0,0,0,15,0,0
TOTAL,,323,,25.09%,,,4.00%,,,,,,
