problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
estimathon,ACCEPTED,50,100.00%,100.00%,0.000,0,,11,39,0,0,0
dirigent,ACCEPTED,70,100.00%,100.00%,0.100,4.90625,,15,20,35,0,0
baltazar,RUNTIME_ERROR,30,27.27%,32.81%,0.330,65.73046875,,0,30,0,0,0
bomboni,ACCEPTED,110,100.00%,100.00%,0.120,3.875,,13,17,33,47,0
skrivaca,ACCEPTED,110,100.00%,100.00%,0.770,83.7109375,,15,25,30,40,0
kalendar,ACCEPTED,50,100.00%,100.00%,0.020,0,,7,19,24,0,0
diskurs,ACCEPTED,70,100.00%,100.00%,0.150,12.90234375,,20,25,25,0,0
logaritam,ACCEPTED,110,100.00%,100.00%,0.020,0.00390625,,19,26,29,36,0
slasticarnica,ACCEPTED,110,100.00%,100.00%,0.150,1.58984375,,21,31,58,0,0
zastave,ACCEPTED,110,100.00%,100.00%,0.060,2.07421875,,41,22,47,0,0
7krokods,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
zrinka,ACCEPTED,70,100.00%,100.00%,0.090,1.55859375,,15,20,15,20,0
bojanje,ACCEPTED,110,100.00%,100.00%,0.020,0.00390625,,30,40,40,0,0
mreza,ACCEPTED,110,100.00%,100.00%,0.760,46.765625,,21,29,60,0,0
vrsta,ACCEPTED,110,100.00%,100.00%,0.110,7.484375,,19,26,29,36,0
tramvaji,ACCEPTED,50,100.00%,100.00%,0.020,0,,12,13,25,0,0
ekspert,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
lampice,RUNTIME_ERROR,0,0.00%,2.38%,0.130,4.65234375,,0,0,0,0,0
prijateljice,ACCEPTED,110,100.00%,100.00%,0.040,7.7421875,,20,30,60,0,0
kruhologija,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0
desniklik,ACCEPTED,50,100.00%,100.00%,0.000,0,,5,15,30,0,0
cokolade,ACCEPTED,70,100.00%,100.00%,0.080,3.6171875,,15,20,35,0,0
berilij,RUNTIME_ERROR,0,0.00%,4.55%,0.150,12.7421875,,0,0,0,0,0
iksevi,ACCEPTED,110,100.00%,100.00%,0.340,42.21484375,,15,55,40,0,0
neboderi,ACCEPTED,110,100.00%,100.00%,0.180,12.90234375,,11,22,27,18,32
TOTAL,,1720,,77.59%,,,76.00%,,,,,
