competition_year,ACCEPTED,WRONG_ANSWER,TIME_LIMIT_EXCEEDED,MEMORY_LIMIT_EXCEEDED,COMPILATION_ERROR,RUNTIME_ERROR,UNKNOWN,empty solutions
ALL_COMPETITIONS,344,1295,1119,584,2504,6565,1906,259
APIO-2023,0,0,4,2,5,12,1,0
APIO-2024,0,0,0,0,13,4,3,4
BOI-2023,0,0,0,2,7,30,2,7
BOI-2024,0,0,4,2,9,32,1,0
BOI-2025,0,0,5,4,5,25,9,0
CCO-2023,0,0,0,0,0,0,0,0
CCO-2024,23,0,12,2,8,57,14,12
CEOI-2023,0,0,4,1,16,21,6,0
CEOI-2024,0,0,4,3,9,27,3,2
COCI-2023,0,0,0,0,0,0,0,0
COCI-2024,0,0,0,0,0,0,0,0
COCI-2025,3,0,16,6,25,120,26,4
EGOI-2023,0,0,1,0,4,42,16,1
EGOI-2024,0,0,1,3,7,44,8,1
EJOI-2023,0,0,12,0,17,14,5,0
EJOI-2024,0,0,0,3,17,24,4,0
IATI-2024,0,0,0,0,0,0,0,0
IOI-2023,0,0,2,1,15,30,0,0
IOI-2024,0,0,1,3,18,23,3,0
JOI-2023,0,0,12,3,32,101,10,2
JOI-2024,0,0,2,6,52,89,8,3
JOI-2025,0,0,7,2,4,25,2,0
NOINordic-2023,0,1,0,1,4,9,9,0
NOINordic-2024,0,0,2,2,2,16,2,0
NOINordic-2025,0,0,4,2,5,12,1,0
OOI-2023,4,0,12,10,0,64,46,0
OOI-2024,0,0,7,9,0,62,55,3
RMI-2023,0,0,4,1,8,31,3,1
RMI-2024,1,0,0,3,15,21,8,0
USACO-2023,17,87,30,15,67,117,48,3
USACO-2024,6,85,42,14,73,123,35,6
USACO-2025,0,84,26,14,41,78,44,1
