problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6
s1,ACCEPTED,15,100.00%,0.300,5.16796875,,2,1,2,5,5,0,0
s2,ACCEPTED,15,100.00%,0.070,0.00390625,,5,5,2,3,0,0,0
s3,RUNTIME_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0
s4,RUNTIME_ERROR,0,2.00%,0.140,15.734375,,0,0,0,0,0,0,0
s5,RUNTIME_ERROR,0,18.58%,0.090,2.84765625,,0,0,0,0,0,0,0
d1p1,ACCEPTED,25,100.00%,1.270,107.765625,,5,5,7,8,0,0,0
d1p2,RUNTIME_ERROR,0,0.00%,0.150,9.02734375,,0,0,0,0,0,0,0
d1p3,RUNTIME_ERROR,0,0.00%,0.170,19.0859375,,0,0,0,0,0,0,0
d2p1,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0
d2p2,TIME_LIMIT_EXCEEDED,0,1.68%,4.410,6.96875,,0,0,0,0,0,0,0
d2p3,TIME_LIMIT_EXCEEDED,0,6.90%,4.420,5.50390625,,0,0,0,0,0,0,0
j1,ACCEPTED,15,100.00%,0.000,0,,15,0,0,0,0,0,0
j2,ACCEPTED,15,100.00%,0.050,0.00390625,,15,0,0,0,0,0,0
j3,ACCEPTED,15,100.00%,0.090,2.34375,,6,7,2,0,0,0,0
j4,ACCEPTED,15,100.00%,0.070,2.5703125,,3,3,5,4,0,0,0
j5,ACCEPTED,15,100.00%,0.050,1.5546875,,1,4,5,5,0,0,0
TOTAL,,130,51.82%,,,50.00%,,,,,,,
