problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
five,ACCEPTED,100,100.00%,100.00%,0.770,28.46875,,5,19,19,19,19,19,0,0,0,0
game,RUNTIME_ERROR,0,0.00%,10.81%,0.150,7.5,,0,0,0,0,0,0,0,0,0,0
lexgcd,RUNTIME_ERROR,38,38.00%,39.26%,0.430,15.02734375,,6,19,13,0,0,0,0,0,0,0
ones,WRONG_ANSWER,53,53.00%,0.00%,0.190,1.94921875,,5.532019999999999,5.63774,5.70353,5.71772,5.6574800000000005,5.397499999999999,5.24783,5.064579999999999,4.74295,4.4296999999999995
travel,TIME_LIMIT_EXCEEDED,20,20.00%,29.41%,1.210,72.453125,,10,10,0,0,0,0,0,0,0,0
aquarelle,ACCEPTED,100,100.00%,100.00%,0.180,43.00390625,,0,11,18,24,36,11,0,0,0,0
parentheses,ACCEPTED,100,100.00%,100.00%,0.180,34.06640625,,0,5,10,10,15,15,45,0,0,0
tolls,ACCEPTED,100,100.00%,100.00%,0.160,5.1640625,,0,5,5,10,20,10,20,30,0,0
twins,RUNTIME_ERROR,40,40.00%,35.88%,0.100,1.9375,,40,0,0,0,0,0,0,0,0,0
walk,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
xy,RUNTIME_ERROR,0,0.00%,0.00%,0.100,4.90625,,0,0,0,0,0,0,0,0,0,0
TOTAL,,551,,46.85%,,,36.36%,,,,,,,,,,
