solution,status,score,%test passed,time,memory,subtask_0,subtask_1,subtask_10,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
silver_Milk_Sum_Qwen3-32B-Non-Thinking_0.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,4.420,3.6171875,0,0,0,0,0,0,0,0,0,0,0
silver_Milk_Sum_Qwen3-32B-Non-Thinking_1.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0
silver_Milk_Sum_Qwen3-32B-Non-Thinking_1.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0
silver_Milk_Sum_Qwen3-32B-Non-Thinking_1.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0
silver_Milk_Sum_Qwen3-32B-Non-Thinking_1.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0
silver_Milk_Sum_Qwen3-32B-Non-Thinking_1.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0
silver_Milk_Sum_Qwen3-32B-Non-Thinking_1.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0
silver_Milk_Sum_Qwen3-32B-Non-Thinking_1.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0
silver_Milk_Sum_Qwen3-32B-Non-Thinking_1.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0
silver_Milk_Sum_Qwen3-32B-Non-Thinking_1.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0
silver_Milk_Sum_Qwen3-32B-Non-Thinking_1.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0
silver_Milk_Sum_Qwen3-32B-Non-Thinking_1.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0
silver_Milk_Sum_Qwen3-32B-Non-Thinking_1.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0
silver_Milk_Sum_Qwen3-32B-Non-Thinking_1.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0
silver_Milk_Sum_Qwen3-32B-Non-Thinking_1.cpp,COMPILATION_ERROR,0,0.00%,0.000,0,0,0,0,0,0,0,0,0,0,0,0
silver_Milk_Sum_Qwen3-32B-Non-Thinking_7.cpp,TIME_LIMIT_EXCEEDED,0,0.00%,4.420,12.8984375,0,0,0,0,0,0,0,0,0,0,0
