Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,2023-ho-t1_Stone_Arranging_2,2023-ho-t1_Stone_Arranging_2_rel,2023-ho-t2_Advertisement_2,2023-ho-t2_Advertisement_2_rel,2023-ho-t3_Maze,2023-ho-t3_Maze_rel,2023-ho-t4_Cat_Exercise,2023-ho-t4_Cat_Exercise_rel,2023-ho-t5_Modern_Machine,2023-ho-t5_Modern_Machine_rel
gpt-oss-120b-high,311.00,62.20%,78.20%,60.00%,0.262,22.59,5,100.00,100.00%,100.00,100.00%,8.00,8.00%,100.00,100.00%,3.00,3.00%
gpt-5,311.00,62.20%,77.69%,60.00%,0.776,12.98,5,100.00,100.00%,100.00,100.00%,8.00,8.00%,100.00,100.00%,3.00,3.00%
deepseek-reasoner,289.00,57.80%,67.77%,40.00%,1.228,17.42,5,100.00,100.00%,100.00,100.00%,86.00,86.00%,0.00,0.00%,3.00,3.00%
gemini-2.5-pro,254.00,50.80%,77.51%,40.00%,0.860,9.60,5,100.00,100.00%,100.00,100.00%,8.00,8.00%,31.00,31.00%,15.00,15.00%
gpt-o3-mini-high,234.00,46.80%,67.09%,40.00%,1.188,21.29,5,100.00,100.00%,100.00,100.00%,0.00,0.00%,31.00,31.00%,3.00,3.00%
gemini-2.5-flash,217.00,43.40%,63.18%,40.00%,0.822,254.57,5,100.00,100.00%,100.00,100.00%,0.00,0.00%,14.00,14.00%,3.00,3.00%
gpt-oss-120b_sp2,211.00,42.20%,57.69%,40.00%,0.638,7.17,5,100.00,100.00%,100.00,100.00%,8.00,8.00%,0.00,0.00%,3.00,3.00%
gpt-oss-120b_sp1,211.00,42.20%,57.69%,40.00%,0.720,6.78,5,100.00,100.00%,100.00,100.00%,8.00,8.00%,0.00,0.00%,3.00,3.00%
gpt-oss-20b-medium,211.00,42.20%,57.69%,40.00%,0.738,13.24,5,100.00,100.00%,100.00,100.00%,8.00,8.00%,0.00,0.00%,3.00,3.00%
gpt-oss-120b_sp4,211.00,42.20%,57.69%,40.00%,0.752,7.59,5,100.00,100.00%,100.00,100.00%,8.00,8.00%,0.00,0.00%,3.00,3.00%
gpt-oss-20b-high,211.00,42.20%,57.69%,40.00%,0.754,7.59,5,100.00,100.00%,100.00,100.00%,8.00,8.00%,0.00,0.00%,3.00,3.00%
claude-sonnet-4.5,211.00,42.20%,78.27%,20.00%,2.146,18.57,5,60.00,60.00%,100.00,100.00%,27.00,27.00%,21.00,21.00%,3.00,3.00%
Qwen3-14B,209.00,41.80%,64.99%,20.00%,1.384,213.86,5,60.00,60.00%,100.00,100.00%,46.00,46.00%,0.00,0.00%,3.00,3.00%
gpt-oss-120b_sp3,208.00,41.60%,52.72%,40.00%,0.056,8.22,5,100.00,100.00%,100.00,100.00%,8.00,8.00%,0.00,0.00%,0.00,0.00%
seed-oss_8192,208.00,,48.82%,40.00%,0.074,15.49,5,100.00,,100.00,,8.00,,0.00,,0.00,
gpt-oss-120b-medium,208.00,41.60%,50.07%,40.00%,0.156,7.70,5,100.00,100.00%,100.00,100.00%,8.00,8.00%,0.00,0.00%,0.00,0.00%
seed-oss_-1,203.00,40.60%,62.14%,40.00%,1.172,6.43,5,100.00,100.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%,3.00,3.00%
seed-oss_16384,200.00,,58.68%,40.00%,0.534,5.94,5,100.00,,100.00,,0.00,,0.00,,0.00,
Qwen3-30B,190.00,38.00%,63.98%,20.00%,1.612,11.58,5,60.00,60.00%,100.00,100.00%,27.00,27.00%,0.00,0.00%,3.00,3.00%
Qwen3-8B,163.00,32.60%,48.25%,20.00%,1.136,3.70,5,60.00,60.00%,100.00,100.00%,0.00,0.00%,0.00,0.00%,3.00,3.00%
Qwen3-32B,155.00,31.00%,61.25%,20.00%,1.624,5.56,5,25.00,25.00%,100.00,100.00%,27.00,27.00%,0.00,0.00%,3.00,3.00%
