Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,Alice_Bob_and_two_arrays,Alice_Bob_and_two_arrays_rel,Best_Runner,Best_Runner_rel,Card_Flip,Card_Flip_rel,Cute_Subsequences,Cute_Subsequences_rel,Dreaming_is_not_harmful,Dreaming_is_not_harmful_rel,Order_Statistics,Order_Statistics_rel,Strong_Connectivity_Strikes_Back,Strong_Connectivity_Strikes_Back_rel,The_arithmetic_exercise,The_arithmetic_exercise_rel
gpt-oss-120b-high,656.00,,88.01%,75.00%,0.502,19.29,8,100.00,,100.00,,15.00,,100.00,,100.00,,100.00,,100.00,,41.00,
gpt-5,540.00,,82.34%,50.00%,0.554,35.97,8,100.00,,100.00,,19.00,,100.00,,41.00,,18.00,,100.00,,62.00,
gpt-oss-120b-medium,475.00,59.38%,69.93%,50.00%,0.706,12.37,8,100.00,100.00%,100.00,100.00%,15.00,15.00%,100.00,100.00%,10.00,10.00%,46.00,46.00%,100.00,100.00%,4.00,4.00%
gpt-oss-20b-medium,464.00,,63.57%,50.00%,0.701,16.98,8,100.00,,100.00,,50.00,,100.00,,10.00,,0.00,,100.00,,4.00,
gemini-2.5-pro,447.00,,72.49%,12.50%,1.145,62.52,8,62.00,,60.00,,19.00,,57.00,,32.00,,59.00,,100.00,,58.00,
gpt-oss-20b-high,443.00,,63.61%,57.14%,0.347,26.63,7,100.00,,39.00,,N/A,,100.00,,100.00,,0.00,,100.00,,4.00,
gpt-o3-mini-high,423.00,,65.44%,50.00%,0.659,7.97,8,100.00,,100.00,,15.00,,100.00,,0.00,,4.00,,100.00,,4.00,
gpt-oss-20b-low,404.00,,53.89%,50.00%,0.081,4.41,8,100.00,,100.00,,0.00,,100.00,,0.00,,0.00,,100.00,,4.00,
seed-oss_-1,397.00,,58.28%,37.50%,0.692,10.21,8,100.00,,79.00,,10.00,,100.00,,0.00,,4.00,,100.00,,4.00,
QwQ-32B,392.00,,51.25%,37.50%,0.191,14.42,8,100.00,,68.00,,10.00,,100.00,,10.00,,0.00,,100.00,,4.00,
gpt-oss-120b-low,380.00,,59.02%,37.50%,0.619,13.20,8,100.00,,100.00,,10.00,,48.00,,0.00,,18.00,,100.00,,4.00,
seed-oss_16384,379.00,,53.98%,37.50%,0.357,10.54,8,100.00,,60.00,,15.00,,100.00,,0.00,,0.00,,100.00,,4.00,
