competition_year,ACCEPTED,WRONG_ANSWER,TIME_LIMIT_EXCEEDED,MEMORY_LIMIT_EXCEEDED,COMPILATION_ERROR,RUNTIME_ERROR,UNKNOWN,empty solutions
ALL_COMPETITIONS,2206,749,1488,284,837,3125,374,349
APIO-2023,0,0,6,0,8,9,0,1
APIO-2024,0,0,4,0,11,8,0,1
BOI-2023,1,0,9,0,1,37,0,0
BOI-2024,3,0,14,0,3,28,0,0
BOI-2025,0,0,15,0,1,32,0,0
CCO-2023,31,0,16,0,7,59,0,15
CCO-2024,45,0,9,2,14,33,0,25
CEOI-2023,0,0,7,2,12,26,1,0
CEOI-2024,0,0,6,2,8,32,0,0
COCI-2023,82,0,27,0,18,49,8,16
COCI-2024,68,2,19,5,23,67,0,16
COCI-2025,66,2,25,9,13,62,15,8
EGOI-2023,8,0,4,2,3,37,9,1
EGOI-2024,4,0,3,3,2,43,9,0
EJOI-2023,0,0,18,0,12,18,0,0
EJOI-2024,9,0,5,1,10,18,0,5
IATI-2024,10,7,18,7,2,38,2,4
IOI-2023,0,0,5,0,4,39,0,0
IOI-2024,0,0,11,3,10,24,0,0
JOI-2023,8,0,27,3,23,92,1,6
JOI-2024,10,0,34,3,24,84,0,5
JOI-2025,14,0,8,2,3,13,0,0
NOINordic-2023,16,0,2,1,0,3,2,0
NOINordic-2024,4,0,1,0,0,19,0,0
NOINordic-2025,8,0,4,0,4,8,0,0
OOI-2023,23,0,33,13,2,57,8,0
OOI-2024,32,0,18,3,0,65,18,0
RMI-2023,1,0,8,3,5,29,1,1
RMI-2024,3,0,8,0,10,23,4,0
USACO-2023,146,85,62,16,26,41,0,8
USACO-2024,112,89,83,11,34,47,0,8
USACO-2025,78,68,50,12,19,58,0,3
