problem_id,model,solution_file,status,score,relative_score,tests_passed,execution_time,memory_usage
APIO-2023-contest-abc,seed-oss_-1,abc_seed-oss_0.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.020,5.3125
APIO-2023-contest-abc,seed-oss_-1,abc_seed-oss_1.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.020,5.29296875
APIO-2023-contest-abc,seed-oss_-1,abc_seed-oss_2.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.020,5.2265625
APIO-2023-contest-abc,seed-oss_-1,abc_seed-oss_3.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.020,5.36328125
APIO-2023-contest-abc,seed-oss_-1,abc_seed-oss_4.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.170,14.2890625
APIO-2023-contest-abc,seed-oss_-1,abc_seed-oss_5.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.250,242.3125
APIO-2023-contest-abc,seed-oss_-1,abc_seed-oss_6.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.150,18.90625
APIO-2023-contest-abc,seed-oss_-1,abc_seed-oss_7.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.120,9.77734375
APIO-2023-contest-cyberland,seed-oss_-1,cyberland_seed-oss_0.cpp,TIME_LIMIT_EXCEEDED,20,20.00%,23.17%,3.000,966.9921875
APIO-2023-contest-cyberland,seed-oss_-1,cyberland_seed-oss_1.cpp,RUNTIME_ERROR,20,20.00%,23.17%,0.500,20.62890625
APIO-2023-contest-cyberland,seed-oss_-1,cyberland_seed-oss_2.cpp,RUNTIME_ERROR,20,20.00%,23.17%,0.510,21.91796875
APIO-2023-contest-cyberland,seed-oss_-1,cyberland_seed-oss_3.cpp,RUNTIME_ERROR,68,68.00%,69.51%,2.010,67.03515625
APIO-2023-contest-cyberland,seed-oss_-1,cyberland_seed-oss_4.cpp,TIME_LIMIT_EXCEEDED,97,97.00%,87.80%,2.980,89.9765625
APIO-2023-contest-cyberland,seed-oss_-1,cyberland_seed-oss_5.cpp,RUNTIME_ERROR,20,20.00%,23.17%,0.660,21.91796875
