Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,Choose_Interval,Choose_Interval_rel,Jump_Civilization,Jump_Civilization_rel,Octagon,Octagon_rel,Ramen,Ramen_rel,Signals,Signals_rel,Skittlez,Skittlez_rel
gpt-5,361.00,60.17%,70.44%,50.00%,0.968,22.20,6,100.00,100.00%,6.00,6.00%,55.00,55.00%,0.00,0.00%,100.00,100.00%,100.00,100.00%
grok-4-fast-reasoning,273.00,45.50%,62.72%,16.67%,1.373,136.10,6,86.00,86.00%,33.00,33.00%,26.00,26.00%,0.00,0.00%,100.00,100.00%,28.00,28.00%
gpt-oss-120b-high,216.00,36.00%,47.32%,16.67%,1.038,52.30,6,86.00,86.00%,11.00,11.00%,9.00,9.00%,0.00,0.00%,10.00,10.00%,100.00,100.00%
gpt-oss-120b_sp2,213.00,35.50%,52.01%,16.67%,0.588,22.09,6,86.00,86.00%,11.00,11.00%,9.00,9.00%,0.00,0.00%,100.00,100.00%,7.00,7.00%
gpt-oss-120b_sp4,200.00,33.33%,36.51%,33.33%,0.643,56.66,6,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,100.00,100.00%
seed-oss_-1,194.00,32.33%,48.16%,16.67%,0.908,21.55,6,0.00,0.00%,11.00,11.00%,55.00,55.00%,0.00,0.00%,100.00,100.00%,28.00,28.00%
seed-oss_16384,191.00,,44.42%,16.67%,0.573,18.89,6,52.00,,11.00,,0.00,,0.00,,100.00,,28.00,
gpt-oss-120b-low,191.00,31.83%,43.77%,16.67%,0.807,21.57,6,52.00,52.00%,11.00,11.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,28.00,28.00%
gemini-2.5-flash,189.00,31.50%,47.53%,16.67%,0.698,104.96,6,0.00,0.00%,6.00,6.00%,55.00,55.00%,0.00,0.00%,100.00,100.00%,28.00,28.00%
DeepSeek-R1-Distill-Llama-70B,179.00,29.83%,40.25%,16.67%,0.445,60.07,6,100.00,100.00%,11.00,11.00%,0.00,0.00%,0.00,0.00%,61.00,61.00%,7.00,7.00%
gpt-oss-120b_sp3,175.00,29.17%,44.35%,16.67%,0.447,33.06,6,7.00,7.00%,17.00,17.00%,0.00,0.00%,0.00,0.00%,100.00,100.00%,51.00,51.00%
gpt-o3-mini-high,163.00,27.17%,47.60%,0.00%,0.812,66.00,6,86.00,86.00%,11.00,11.00%,0.00,0.00%,0.00,0.00%,15.00,15.00%,51.00,51.00%
claude-sonnet-4.5,155.00,25.83%,49.18%,16.67%,0.752,66.18,6,7.00,7.00%,6.00,6.00%,9.00,9.00%,5.00,5.00%,100.00,100.00%,28.00,28.00%
gemini-2.5-pro,154.00,25.67%,40.69%,16.67%,0.660,32.87,6,0.00,0.00%,17.00,17.00%,9.00,9.00%,0.00,0.00%,100.00,100.00%,28.00,28.00%
