problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3
s1j4,RUNTIME_ERROR,6,40.00%,52.50%,0.040,1.5546875,,3,3,0,0
s2,TIME_LIMIT_EXCEEDED,5,33.33%,38.71%,1.220,0.00390625,,5,0,0,0
s3,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0
s4,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0
s5,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0
d1p1,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0
d1p2,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0
d2p1,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0
d2p2,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0
d2p3,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0
j1,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0
s1j4,RUNTIME_ERROR,6,40.00%,52.50%,0.040,0,,3,3,0,0
TOTAL,,17,,11.98%,,,0.00%,,,,
