competition_year,model,total_score,avg %passed,avg_time,avg_mem,pass_rate
ALL_COMPETITIONS,gpt-o3-mini-high,39517,54.49%,0.81,65.12,33.77%
APIO-2023,gpt-o3-mini-high,109,37.82%,1.09,58.79,0.00%
APIO-2024,gpt-o3-mini-high,105,41.07%,0.40,418.94,33.33%
BOI-2023,gpt-o3-mini-high,92,37.45%,0.94,6.83,0.00%
BOI-2024,gpt-o3-mini-high,282,57.42%,0.36,80.24,33.33%
BOI-2025,gpt-o3-mini-high,151,32.22%,1.03,26.82,16.67%
CCO-2023,gpt-o3-mini-high,161,64.94%,0.13,8.34,56.25%
CCO-2024,gpt-o3-mini-high,159,59.53%,0.74,18.55,56.25%
CEOI-2023,gpt-o3-mini-high,30,10.19%,1.83,207.87,0.00%
CEOI-2024,gpt-o3-mini-high,293,76.14%,0.82,227.76,33.33%
COCI-2023,gpt-o3-mini-high,1682,76.85%,0.32,18.91,76.00%
COCI-2024,gpt-o3-mini-high,1395,70.67%,0.46,17.29,64.00%
COCI-2025,gpt-o3-mini-high,1419,72.15%,0.37,16.08,64.00%
EGOI-2023,gpt-o3-mini-high,236,30.65%,0.50,4.44,25.00%
EGOI-2024,gpt-o3-mini-high,336,51.76%,0.67,6.70,37.50%
EJOI-2023,gpt-o3-mini-high,227,41.58%,0.52,21.76,16.67%
EJOI-2024,gpt-o3-mini-high,382,70.55%,0.67,35.87,50.00%
IATI-2024,gpt-o3-mini-high,428,44.40%,0.46,25.58,27.27%
IOI-2023,gpt-o3-mini-high,112,29.63%,0.86,24.73,0.00%
IOI-2024,gpt-o3-mini-high,67,19.00%,0.64,32.94,0.00%
JOI-2023,gpt-o3-mini-high,543,53.18%,1.33,52.95,20.00%
JOI-2024,gpt-o3-mini-high,359,33.78%,1.03,77.29,10.00%
JOI-2025,gpt-o3-mini-high,284,76.14%,1.43,234.73,40.00%
NOINordic-2023,gpt-o3-mini-high,264,93.90%,1.78,89.76,66.67%
NOINordic-2024,gpt-o3-mini-high,139,67.05%,0.53,5.38,33.33%
NOINordic-2025,gpt-o3-mini-high,192,67.54%,1.89,46.60,33.33%
OOI-2023,gpt-o3-mini-high,952,64.79%,0.86,69.15,47.06%
OOI-2024,gpt-o3-mini-high,920,65.21%,1.10,29.82,47.06%
RMI-2023,gpt-o3-mini-high,240,52.67%,0.35,42.90,33.33%
RMI-2024,gpt-o3-mini-high,163,47.60%,0.81,66.00,0.00%
USACO-2023,gpt-o3-mini-high,11238,72.46%,0.50,36.86,62.50%
USACO-2024,gpt-o3-mini-high,9567,63.55%,0.65,52.07,47.92%
USACO-2025,gpt-o3-mini-high,6990,61.85%,0.98,21.96,50.00%
