competition_year,ACCEPTED,WRONG_ANSWER,TIME_LIMIT_EXCEEDED,MEMORY_LIMIT_EXCEEDED,COMPILATION_ERROR,RUNTIME_ERROR,UNKNOWN,empty solutions
ALL_COMPETITIONS,12039,4294,7996,563,1803,12838,904,227
APIO-2023,0,0,4,0,9,10,0,1
APIO-2024,1,0,4,1,13,5,0,0
BOI-2023,0,0,16,0,1,31,0,0
BOI-2024,5,0,7,2,5,29,0,0
BOI-2025,1,0,17,0,2,28,0,0
CCO-2023,57,0,14,5,3,48,0,1
CCO-2024,66,0,17,1,0,43,0,1
CEOI-2023,0,0,15,0,9,23,1,0
CEOI-2024,2,0,4,5,0,37,0,0
COCI-2023,118,0,6,1,1,66,8,0
COCI-2024,96,1,22,3,3,75,0,0
COCI-2025,104,2,17,1,3,58,15,0
EGOI-2023,12,0,10,0,0,34,8,0
EGOI-2024,14,0,9,0,0,33,8,0
EJOI-2023,2,0,30,0,1,15,0,0
EJOI-2024,21,0,18,0,0,9,0,0
IATI-2024,20,8,15,0,0,38,7,0
IOI-2023,0,0,7,0,18,23,0,0
IOI-2024,0,0,8,0,23,17,0,0
JOI-2023,12,0,53,1,10,82,1,1
JOI-2024,12,0,37,0,16,77,15,3
JOI-2025,12,0,17,0,0,11,0,0
NOINordic-2023,14,0,4,0,0,6,0,0
NOINordic-2024,6,2,5,0,0,11,0,0
NOINordic-2025,1,0,9,0,2,12,0,0
OOI-2023,25,0,38,4,0,66,3,0
OOI-2024,30,0,26,0,0,66,12,2
RMI-2023,7,0,10,4,2,25,0,0
RMI-2024,0,0,14,1,1,32,0,0
USACO-2023,158,134,51,12,8,21,0,0
USACO-2024,119,104,92,4,5,53,0,7
USACO-2025,113,80,58,3,6,26,0,2
