problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5
autobus,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
karte,TIME_LIMIT_EXCEEDED,11,15.71%,37.31%,1.220,0.00390625,,0,11,0,0,0,0
bojanje,RUNTIME_ERROR,0,0.00%,4.35%,0.060,0,,0,0,0,0,0,0
stablo,RUNTIME_ERROR,0,0.00%,10.29%,0.570,89.140625,,0,0,0,0,0,0
procesor,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
wow,RUNTIME_ERROR,0,0.00%,5.56%,0.000,0,,0,0,0,0,0,0
zid,TIME_LIMIT_EXCEEDED,38,54.29%,66.67%,1.210,3.1015625,,17,21,0,0,0,0
tornjevi,TIME_LIMIT_EXCEEDED,61,67.78%,79.63%,2.410,9.03515625,,7,11,17,0,26,0
crtez,RUNTIME_ERROR,0,0.00%,0.00%,0.060,0.00390625,,0,0,0,0,0,0
stablo,TIME_LIMIT_EXCEEDED,0,0.00%,15.84%,4.230,83.29296875,,0,0,0,0,0,0
sah,ACCEPTED,50,100.00%,100.00%,0.070,1.9609375,,13,19,18,0,0,0
benzinska,ACCEPTED,70,100.00%,100.00%,0.150,6.1796875,,15,30,25,0,0,0
xor,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
cipele,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
tura,RUNTIME_ERROR,0,0.00%,0.72%,0.060,2.2109375,,0,0,0,0,0,0
paradoks,RUNTIME_ERROR,0,0.00%,5.13%,0.000,0,,0,0,0,0,0,0
igre,RUNTIME_ERROR,6,8.57%,26.53%,0.150,0.00390625,,6,0,0,0,0,0
razlicitost,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
blistavost,RUNTIME_ERROR,55,45.83%,40.98%,0.060,1.703125,,0,0,55,0,0,0
trokuti,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
osobna,RUNTIME_ERROR,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0
skokovi,TIME_LIMIT_EXCEEDED,25,35.71%,45.83%,5.970,2.84765625,,0,25,0,0,0,0
hijerarhija,MEMORY_LIMIT_EXCEEDED,22,24.44%,30.56%,0.520,274.6484375,,7,0,0,15,0,0
uciteljica,RUNTIME_ERROR,0,0.00%,3.28%,0.310,0.00390625,,0,0,0,0,0,0
zbunjenost,RUNTIME_ERROR,0,0.00%,3.23%,0.000,0,,0,0,0,0,0,0
TOTAL,,338,,23.04%,,,8.00%,,,,,,
