Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count
gpt-5,5472.00,82.65%,83.84%,80.00%,0.252,16.98,75
gpt-oss-120b-high,5317.00,80.81%,82.20%,78.67%,0.152,17.72,75
gpt-oss-20b-high,4949.00,80.35%,82.11%,79.17%,0.193,15.74,72
gemini-2.5-pro,4805.00,75.27%,78.00%,70.67%,0.450,26.35,75
grok-4-fast-reasoning,4738.00,87.87%,89.72%,85.48%,0.297,38.31,62
gpt-oss-120b_sp4,4697.00,72.67%,75.75%,66.67%,0.262,23.13,75
gpt-oss-120b-medium,4691.00,73.37%,75.22%,69.33%,0.291,17.40,75
gpt-oss-120b_sp3,4565.00,71.81%,74.20%,68.00%,0.242,19.33,75
gpt-oss-120b_sp2,4553.00,71.70%,73.37%,68.00%,0.305,16.82,75
gpt-oss-120b_sp1,4547.00,71.88%,75.19%,67.57%,0.248,19.08,74
gpt-oss-20b-medium,4511.00,72.81%,74.50%,70.27%,0.236,23.09,74
gpt-o3-mini-high,4496.00,71.24%,73.22%,68.00%,0.383,17.43,75
gemini-2.5-flash,4301.00,68.89%,73.24%,62.67%,0.484,43.31,75
seed-oss_-1,4234.00,67.15%,70.72%,62.67%,0.365,26.35,75
gpt-oss-120b-low,3596.00,59.44%,61.72%,54.67%,0.376,16.49,75
seed-oss_8192,3542.00,,61.78%,52.00%,0.415,26.77,75
Qwen3-32B,3499.00,,63.00%,52.00%,0.695,16.02,75
deepseek-reasoner,3360.00,55.70%,60.49%,48.00%,0.393,14.24,75
Qwen3-30B,3321.00,,57.73%,49.33%,0.584,10.30,75
claude-sonnet-4.5,3199.00,64.80%,71.61%,53.23%,1.215,57.61,62
gpt-4.1,3072.00,51.87%,54.90%,45.33%,0.691,28.75,75
OpenCodeReasoning-Nemotron-32B-IOI,2973.00,50.59%,53.68%,45.33%,0.320,34.48,75
gpt-oss-20b-low,2920.00,50.65%,53.41%,46.67%,0.309,29.68,75
Qwen3-8B,2659.00,44.78%,47.69%,38.67%,0.480,27.63,75
deepseek-chat,2302.00,40.96%,45.14%,34.67%,0.473,33.59,75
DeepSeek-R1-Distill-Llama-70B,2094.00,37.06%,38.70%,33.33%,0.211,25.25,75
Qwen3-4B,1968.00,35.86%,39.97%,29.33%,0.598,18.43,75
OlympicCoder-7B,1953.00,34.11%,38.42%,30.67%,0.303,11.55,75
Qwen3-14B,1577.00,50.33%,53.27%,46.15%,0.459,7.45,39
Qwen3-32B-Non-Thinking,1371.00,25.20%,30.52%,18.67%,0.453,17.10,75
Llama-4-Scout,1167.00,21.89%,26.37%,14.86%,0.533,8.74,74
Qwen3-30B-Non-Thinking,1117.00,21.83%,25.40%,14.67%,0.326,29.26,75
Mistral-Large-Instruct-2411,1051.00,20.51%,26.75%,13.33%,0.721,23.46,75
Qwen2.5-Coder-14B-Instruct,876.00,17.28%,21.85%,10.67%,0.480,20.20,75
seed-oss_0,837.00,,20.55%,16.00%,0.175,3.03,75
Mistral-Small-3.1-24B-2503,835.00,16.82%,20.95%,9.33%,0.591,27.44,75
Llama-3.3-70B-Instruct,814.00,,22.39%,10.67%,0.769,23.31,75
Qwen3-8B-Non-Thinking,813.00,16.84%,21.44%,8.00%,0.652,23.95,75
Qwen3-14B-Non-Thinking,696.00,15.17%,19.46%,10.14%,0.497,22.22,69
Qwen3-4B-Non-Thinking,688.00,13.49%,17.84%,6.76%,0.397,20.81,74
DeepSeek-Coder-V2-Lite-Instruct,668.00,12.26%,15.87%,4.00%,0.665,23.37,75
Codestral-22B-v0.1,557.00,12.53%,15.93%,6.67%,0.395,8.01,75
Qwen2.5-Coder-7B-Instruct,366.00,8.06%,11.03%,5.33%,0.259,8.27,75
Llama-3.1-8B-Instruct,253.00,5.85%,8.49%,2.67%,0.143,1.58,75
DeepSeek-R1-Distill-Llama-8B,105.00,1.80%,2.79%,1.33%,0.013,0.20,75
QwQ-32B,13.00,3.61%,16.99%,0.00%,0.030,1.29,3
DeepSeek-R1-Distill-Qwen-14B,13.00,3.61%,8.33%,0.00%,0.033,1.29,3
DeepSeek-R1-Distill-Qwen-32B,13.00,3.61%,8.33%,0.00%,0.070,2.19,3
seed-oss_16384,0.00,,0.00%,0.00%,0.000,0.00,7
seed-oss_2048,0.00,,0.00%,0.00%,0.000,0.00,1
seed-oss_512,0.00,,0.00%,0.00%,0.000,0.00,1
Qwen2.5-72B,0.00,,0.00%,0.00%,0.000,0.00,1
DeepSeek-R1-Distill-Qwen-7B,0.00,0.00%,0.00%,0.00%,0.005,0.00,11
seed-oss_4096,0.00,,0.00%,0.00%,0.015,0.00,2
seed-oss_1024,0.00,,0.00%,0.00%,0.030,0.00,1
Qwen2.5-Coder-32B-Instruct,0.00,0.00%,8.33%,0.00%,0.033,0.52,3
