problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
eurokod,RUNTIME_ERROR,17,33.33%,0.000,0,,17,0,0,0,0
vrsar,TIME_LIMIT_EXCEEDED,0,0.00%,1.110,2.84375,,0,0,0,0,0
milano,TIME_LIMIT_EXCEEDED,52,42.86%,1.220,4.39453125,,21,0,31,0,0
restorani,RUNTIME_ERROR,0,0.68%,0.120,20.59765625,,0,0,0,0,0
cesta,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
zlagalica,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
bitovi,MEMORY_LIMIT_EXCEEDED,0,0.00%,1.030,257.75,,0,0,0,0,0
piratski,WRONG_ANSWER,0,0.00%,0.060,1.55859375,,0,0,0,0,0
rolete,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
trokut,RUNTIME_ERROR,0,0.00%,0.060,0.00390625,,0,0,0,0,0
bingo,ACCEPTED,50,100.00%,0.000,0,,12,22,16,0,0
knjige,RUNTIME_ERROR,7,25.00%,0.110,2.84765625,,7,0,0,0,0
lepeze,RUNTIME_ERROR,0,1.92%,0.000,0,,0,0,0,0,0
putovanje,TIME_LIMIT_EXCEEDED,45,46.76%,2.230,4.64453125,,10,0,35,0,0
roboti,TIME_LIMIT_EXCEEDED,0,25.00%,2.210,68.46875,,0,0,0,0,0
pahuljice,ACCEPTED,50,100.00%,0.000,0,,11,11,28,0,0
pingvin,ACCEPTED,70,100.00%,0.090,6.44921875,,7,16,22,25,0
dizalo,TIME_LIMIT_EXCEEDED,0,0.00%,3.310,2.5859375,,0,0,0,0,0
kuglice,RUNTIME_ERROR,0,12.16%,0.000,0,,0,0,0,0,0
zatopljenje,TIME_LIMIT_EXCEEDED,10,40.00%,2.220,2.07421875,,10,0,0,0,0
sudoku,RUNTIME_ERROR,0,22.86%,0.060,0.00390625,,0,0,0,0,0
labirint,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
an2dl,TIME_LIMIT_EXCEEDED,29,83.33%,4.810,67.01953125,,12,17,0,0,0
kocke,RUNTIME_ERROR,0,3.33%,0.000,0,,0,0,0,0,0
mostovi,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
TOTAL,,330,25.49%,,,12.00%,,,,,
