problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
eurokod,ACCEPTED,50,100.00%,100.00%,0.000,0,,17,19,14,0,0
vrsar,ACCEPTED,70,100.00%,100.00%,0.530,35.921875,,8,17,19,26,0
milano,ACCEPTED,110,100.00%,100.00%,0.080,3.62109375,,21,18,31,40,0
restorani,RUNTIME_ERROR,0,0.00%,2.05%,0.250,126.58984375,,0,0,0,0,0
cesta,ACCEPTED,110,100.00%,100.00%,1.130,184.359375,,10,30,30,40,0
zlagalica,ACCEPTED,50,100.00%,100.00%,0.000,0,,17,12,12,9,0
bitovi,RUNTIME_ERROR,0,0.00%,0.00%,0.050,2.65625,,0,0,0,0,0
piratski,ACCEPTED,110,100.00%,100.00%,0.050,1.62109375,,20,40,50,0,0
rolete,ACCEPTED,110,100.00%,100.00%,0.100,6.0,,16,26,32,36,0
trokut,RUNTIME_ERROR,0,0.00%,0.00%,0.050,0.00390625,,0,0,0,0,0
bingo,ACCEPTED,50,100.00%,100.00%,0.000,0,,12,22,16,0,0
knjige,ACCEPTED,70,100.00%,100.00%,0.070,2.84765625,,7,27,36,0,0
lepeze,RUNTIME_ERROR,0,0.00%,3.85%,0.050,0,,0,0,0,0,0
putovanje,TIME_LIMIT_EXCEEDED,65,59.09%,84.89%,2.410,5.3046875,,10,20,35,0,0
roboti,TIME_LIMIT_EXCEEDED,10,9.09%,34.09%,2.430,28.21484375,,10,0,0,0,0
pahuljice,ACCEPTED,50,100.00%,100.00%,0.000,0,,11,11,28,0,0
pingvin,ACCEPTED,70,100.00%,100.00%,0.060,6.19140625,,7,16,22,25,0
dizalo,TIME_LIMIT_EXCEEDED,64,58.18%,57.89%,3.600,11.30859375,,16,19,29,0,0
kuglice,ACCEPTED,110,100.00%,100.00%,0.120,70.1328125,,17,10,26,15,42
zatopljenje,ACCEPTED,110,100.00%,100.00%,0.150,17.3359375,,10,20,20,60,0
sudoku,ACCEPTED,50,100.00%,100.00%,0.000,0,,11,12,13,14,0
labirint,ACCEPTED,70,100.00%,100.00%,0.060,1.55078125,,11,13,24,22,0
an2dl,ACCEPTED,110,100.00%,100.00%,1.100,99.0078125,,12,17,25,56,0
kocke,RUNTIME_ERROR,0,0.00%,13.33%,0.000,0,,0,0,0,0,0
mostovi,TIME_LIMIT_EXCEEDED,30,27.27%,56.78%,3.610,10.32421875,,13,17,0,0,0
TOTAL,,1469,,74.12%,,,64.00%,,,,,
