problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5
autobus,RUNTIME_ERROR,0,16.33%,0.000,0,,0,0,0,0,0,0
karte,TIME_LIMIT_EXCEEDED,11,37.31%,1.180,0.00390625,,0,11,0,0,0,0
bojanje,RUNTIME_ERROR,0,4.35%,0.000,0,,0,0,0,0,0,0
stablo,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
procesor,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
wow,RUNTIME_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
zid,TIME_LIMIT_EXCEEDED,38,66.67%,1.110,2.58984375,,17,21,0,0,0,0
tornjevi,TIME_LIMIT_EXCEEDED,7,33.33%,2.210,16.51171875,,7,0,0,0,0,0
crtez,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
stablo,TIME_LIMIT_EXCEEDED,15,27.72%,4.210,230.1796875,,0,15,0,0,0,0
sah,ACCEPTED,50,100.00%,0.090,0.00390625,,13,19,18,0,0,0
benzinska,RUNTIME_ERROR,0,64.00%,0.790,5.1484375,,0,0,0,0,0,0
xor,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0
cipele,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
tura,RUNTIME_ERROR,0,0.72%,0.070,2.1328125,,0,0,0,0,0,0
paradoks,RUNTIME_ERROR,0,7.69%,0.000,0,,0,0,0,0,0,0
igre,RUNTIME_ERROR,6,12.24%,0.070,0.00390625,,6,0,0,0,0,0
razlicitost,TIME_LIMIT_EXCEEDED,25,37.21%,2.330,4.39453125,,25,0,0,0,0,0
blistavost,RUNTIME_ERROR,0,3.28%,0.070,1.5546875,,0,0,0,0,0,0
trokuti,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
osobna,RUNTIME_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0
skokovi,ACCEPTED,70,100.00%,0.160,12.125,,20,25,25,0,0,0
hijerarhija,TIME_LIMIT_EXCEEDED,0,25.00%,3.350,19.6015625,,0,0,0,0,0,0
uciteljica,TIME_LIMIT_EXCEEDED,0,8.20%,5.550,1.51171875,,0,0,0,0,0,0
zbunjenost,RUNTIME_ERROR,0,1.61%,0.130,12.0703125,,0,0,0,0,0,0
TOTAL,,222,21.83%,,,8.00%,,,,,,
