Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,j1,j1_rel,j2,j2_rel,j3,j3_rel,j4,j4_rel,j5,j5_rel
gpt-oss-120b_sp2,75.00,100.00%,100.00%,100.00%,0.000,0.61,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%
gpt-oss-120b-medium,75.00,100.00%,100.00%,100.00%,0.000,0.61,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%
gpt-oss-120b_sp4,75.00,100.00%,100.00%,100.00%,0.000,0.61,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%
gpt-oss-120b_sp1,75.00,100.00%,100.00%,100.00%,0.000,0.77,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%
gpt-oss-120b_sp3,75.00,100.00%,100.00%,100.00%,0.004,0.77,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%
grok-4-fast-reasoning,75.00,100.00%,100.00%,100.00%,0.008,0.30,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%
claude-sonnet-4.5,75.00,100.00%,100.00%,100.00%,0.016,0.50,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%
gpt-oss-20b-high,75.00,100.00%,100.00%,100.00%,0.036,0.77,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%
gpt-oss-120b-low,75.00,100.00%,100.00%,100.00%,0.036,0.78,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%
Qwen3-32B,75.00,100.00%,100.00%,100.00%,0.036,0.82,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%
gpt-5,75.00,100.00%,100.00%,100.00%,0.038,0.65,5,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%,15.00,100.00%
