problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_10,subtask_11,subtask_12,subtask_13,subtask_14,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
Dreaming_is_not_harmful,TIME_LIMIT_EXCEEDED,41,41.00%,77.65%,2.410,62.1328125,,0.0,0,0,0,0,0,0,0,8.0,13.0,11.0,9.0,0,0,0
Cute_Subsequences,ACCEPTED,100,100.00%,100.00%,0.150,8.71875,,0.0,14.0,0,0,0,0,0,19.0,17.0,21.0,15.0,14.0,0,0,0
The_arithmetic_exercise,RUNTIME_ERROR,62,62.00%,87.38%,0.210,2.84765625,,0.0,4.0,0,0,0,0,0,8.0,11.0,9.0,8.0,10.0,12.0,0,0
Alice_Bob_and_two_arrays,ACCEPTED,100,100.00%,100.00%,0.280,49.25,,0.0,13.0,10.0,7.0,0,0,0,12.0,11.0,8.0,10.0,7.0,6.0,7.0,9.0
Card_Flip,RUNTIME_ERROR,19,19.00%,43.70%,0.200,6.97265625,,0.0,0,0,0,0,0,0,0,9.0,10.0,0,0,0,0,0
Order_Statistics,RUNTIME_ERROR,18,18.00%,50.00%,0.380,17.79296875,,0,0,0,0,0,0,0,5.0,6.0,7.0,0,0,0,0,0
Best_Runner,ACCEPTED,100,100.00%,100.00%,0.790,146.98828125,,0.0,23.0,0,0,0,0,0,10.0,16.0,19.0,11.0,21.0,0,0,0
Strong_Connectivity_Strikes_Back,ACCEPTED,100,100.00%,100.00%,0.110,5.41796875,,0.0,11.0,0,0,0,0,0,9.0,12.0,13.0,20.0,21.0,14.0,0,0
Colorful_Diameter,ACCEPTED,100,100.00%,100.00%,6.570,48.234375,,0.0,10.0,0,0,0,0,0,8.0,11.0,14.0,8.0,11.0,8.0,19.0,11.0
Road_Lighting,ACCEPTED,100,100.00%,100.00%,0.710,35.3828125,,0.0,14.0,0,0,0,0,0,13.0,10.0,12.0,19.0,20.0,12.0,0,0
Repainting_the_Table,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Distinctive_Features,ACCEPTED,100,100.00%,100.00%,0.360,74.96875,,0.0,10.0,0,0,0,0,0,7.0,13.0,19.0,7.0,10.0,12.0,7.0,15.0
Classic_Tree_Problem,RUNTIME_ERROR,0,0.00%,0.00%,0.110,0.00390625,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alien_Homophones,TIME_LIMIT_EXCEEDED,62,62.00%,90.84%,2.420,71.453125,,0.0,8.0,0,0,0,0,0,7.0,9.0,15.0,0,6.0,7.0,10.0,0
Stone_Enthusiast,ACCEPTED,100,100.00%,100.00%,0.300,21.890625,,0.0,16.0,0,0,0,0,0,14.0,12.0,16.0,11.0,17.0,14.0,0,0
Egors_Gaming_Addiction,ACCEPTED,100,100.00%,100.00%,0.300,35.00390625,,0.0,8.0,0,0,0,0,0,7.0,9.0,12.0,19.0,10.0,14.0,21.0,0
Ultrafast_train,ACCEPTED,100,100.00%,100.00%,0.150,9.2421875,,0.0,17.0,0,0,0,0,0,13.0,12.0,26.0,32.0,0,0,0,0
TOTAL,,1202,,79.39%,,,58.82%,,,,,,,,,,,,,,,
