solution,status,score,relative_score,%test passed,time,memory,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7
2024-sp_JOI_Tour_Qwen3-32B_0.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0
2024-sp_JOI_Tour_Qwen3-32B_2.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0
2024-sp_JOI_Tour_Qwen3-32B_3.cpp,RUNTIME_ERROR,0,0.00%,0.00%,0.230,25.5859375,0,0,0,0,0,0,0
2024-sp_JOI_Tour_Qwen3-32B_4.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0
2024-sp_JOI_Tour_Qwen3-32B_4.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0
2024-sp_JOI_Tour_Qwen3-32B_4.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0
2024-sp_JOI_Tour_Qwen3-32B_4.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0
2024-sp_JOI_Tour_Qwen3-32B_4.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0
2024-sp_JOI_Tour_Qwen3-32B_4.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0
2024-sp_JOI_Tour_Qwen3-32B_4.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0
2024-sp_JOI_Tour_Qwen3-32B_4.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0
2024-sp_JOI_Tour_Qwen3-32B_4.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0
2024-sp_JOI_Tour_Qwen3-32B_4.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0
2024-sp_JOI_Tour_Qwen3-32B_4.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0
2024-sp_JOI_Tour_Qwen3-32B_4.cpp,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0,0,0,0,0,0,0,0
2024-sp_JOI_Tour_Qwen3-32B_5.cpp,TIME_LIMIT_EXCEEDED,52,52.00%,55.41%,3.600,32.546875,6,8,6,16,16,0,0
2024-sp_JOI_Tour_Qwen3-32B_6.cpp,TIME_LIMIT_EXCEEDED,46,46.00%,36.32%,3.720,13.67578125,6,8,0,16,16,0,0
2024-sp_JOI_Tour_Qwen3-32B_7.cpp,TIME_LIMIT_EXCEEDED,52,52.00%,55.41%,3.660,24.87890625,6,8,6,16,16,0,0
