problem,model,status,score,relative_score,%test passed,time,memory
2024-sp_Fish_3,Qwen3-32B,TIME_LIMIT_EXCEEDED,9,9.00%,37.93%,2.400,3.6171875
2024-sp_Ski_2,Qwen3-32B,RUNTIME_ERROR,5,5.00%,23.36%,0.180,0.00390625
2024-sp_Spy_3,Qwen3-32B,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2024-sp_Board_Game,Qwen3-32B,RUNTIME_ERROR,3,3.00%,8.07%,0.210,4.8984375
2024-sp_Tricolor_Lights,Qwen3-32B,COMPILATION_ERROR,0,0.00%,0.00%,0.000,0
2024-sp_Growing_Vegetables_is_Fun_5,Qwen3-32B,TIME_LIMIT_EXCEEDED,30,30.00%,76.69%,5.960,30.6640625
2024-sp_Card_Collection,Qwen3-32B,RUNTIME_ERROR,0,0.00%,16.67%,0.000,0
2024-sp_JOI_Tour,Qwen3-32B,TIME_LIMIT_EXCEEDED,52,52.00%,55.41%,3.600,32.546875
2024-sp_Tower,Qwen3-32B,RUNTIME_ERROR,0,0.00%,4.65%,0.410,309.33984375
2024-sp_Escape_Route_2,Qwen3-32B,TIME_LIMIT_EXCEEDED,6,6.00%,43.05%,2.420,5.6796875
2024-sp_Island_Hopping,Qwen3-32B,RUNTIME_ERROR,2,2.00%,4.31%,0.160,0.56640625
2024-sp_Table_Tennis,Qwen3-32B,RUNTIME_ERROR,0,0.00%,10.26%,0.290,25.53125
